FRB,FWHM_0,FWHM_45,FWHM_90,FWHM_135,Avg_FWHM,moffat_alpha,moffat_gamma,moffat_fwhm,max_frac_resid_pct,ePSF_moffat_alpha,ePSF_moffat_gamma,ePSF_moffat_fwhm,ePSF_max_frac_resid_pct,PSFEx_FWHM_0,PSFEx_FWHM_45,PSFEx_FWHM_90,PSFEx_FWHM_135,PSFEx_Avg_FWHM,PSFEx_moffat_alpha,PSFEx_moffat_gamma,PSFEx_moffat_fwhm,PSFEx_max_frac_resid_pct,Delta_Avg_FWHM_PSFEx_minus_ePSF,Delta_moffat_fwhm_PSFEx_minus_ePSF,ePSF_exp_minus_moffat_fwhm,PSFEx_exp_minus_moffat_fwhm,ePSF_exp_over_moffat_fwhm_ratio,PSFEx_exp_over_moffat_fwhm_ratio,Abs_ePSF_exp_minus_moffat_fwhm,Abs_PSFEx_exp_minus_moffat_fwhm,Delta_fit_resid_pct_PSFEx_minus_ePSF,Better_Moffat_Fit_by_MaxFracResid,Better_ExpVsMoffat_Agreement
20171020A,4.289043909131729,5.324285808575131,4.359493786034132,5.036742615440418,4.752391529795353,2.9408967369935106,3.713607385088302,3.829051345750812,7.816217342666194,2.2949559943640825,3.1649140020133464,3.7586748934103396,8.249813492244812,3.6804257680429497,4.779558291037649,3.627487356737194,4.568947317101639,4.164104683229858,2.263506271492785,2.915723672579328,3.4905529454502853,3.9471095491683768,-0.5882868465654951,-0.2681219479600543,0.9937166363850132,0.6735517377795723,1.2643795126115283,1.1929641945862772,0.9937166363850132,0.6735517377795723,-4.302703943076435,PSFEx,PSFEx
20180924B,4.001935296533098,5.168159866205866,4.637138196971761,5.16256939268854,4.742450688099816,3.2553247170989645,3.974250158590224,3.871944289737172,2.886813986007153,3.177702979232793,3.9161866871661175,3.866898505062569,2.927817874784827,4.049462580704905,5.033019209470824,4.193358352003327,4.992504821025192,4.567086240801062,3.077451242387585,3.9471988371815763,3.9677969055023725,3.121973220749449,-0.17536444729875367,0.10089840043980347,0.875552183037247,0.5992893352986899,1.2264223335293047,1.151038309059524,0.875552183037247,0.5992893352986899,0.19415534596462214,ePSF,PSFEx
20190102C,5.894101830108993,6.398057446089613,5.865643088789777,5.959167306462417,6.029242417862701,4.246082657736861,6.632792469544701,5.586116054352036,2.283586732789657,3.937798363091363,6.351667213949205,5.573083644635058,2.2877085178070447,5.586533371421484,6.028906048027299,5.552580590063522,5.941119662666962,5.777284918044817,3.5989814176789947,5.984801916584899,5.5163141173405235,2.475654740607988,-0.25195749981788396,-0.05676952729453433,0.4561587732276431,0.26097080070429346,1.0818503367820014,1.0473089086576728,0.4561587732276431,0.26097080070429346,0.1879462228009432,ePSF,PSFEx
20190608B,5.145003856462312,5.515742097530584,4.688048963479745,5.344487341879471,5.173320564838028,3.547052716858249,5.001550600407984,4.647034324474598,2.1112443722189225,3.190044184596959,4.693390288872741,4.62433635121459,2.2999409950391976,5.037510181283014,5.498552233538088,4.862514428745679,5.565305390585154,5.240970558537983,3.714978330962181,5.252786064322825,4.758028523703,3.335955677547627,0.06764999369995461,0.13369217248840926,0.548984213623438,0.4829420348349833,1.1187163242308804,1.1015004496986762,0.548984213623438,0.4829420348349833,1.0360146825084295,ePSF,PSFEx
20190714A,3.808755037007079,4.904735377857828,3.9833458299568494,4.864389668596827,4.3903064783546455,3.4671409356826635,3.768311528095437,3.5454486532149523,2.580568065479828,3.231436647372481,3.610917596326078,3.5323830685890036,2.66464010834406,3.658487558737967,4.658442855149626,3.580562744139836,4.735795480907647,4.158322159733769,3.3113817293593457,3.6935817542197085,3.564585442862014,3.519427964789544,-0.2319843186208761,0.032202374273010204,0.8579234097656419,0.5937367168717556,1.2428738313787513,1.16656543275199,0.8579234097656419,0.5937367168717556,0.8547878564454843,ePSF,PSFEx
20191001A,4.0795700485800745,5.050941281679318,4.104461317251844,4.92644524095749,4.540354472117182,3.8395019586343535,4.333453286584527,3.855094667097133,2.073712570680636,3.69840903430772,4.238483230467474,3.848682220153243,2.1339294259706043,3.8722323314568303,4.855829151319144,3.90855281858897,4.877525592656496,4.37853497350536,3.7512926464599183,4.172406208097241,3.7593209891065125,3.0629930249058774,-0.16181949861182154,-0.08936123104673044,0.6916722519639387,0.6192139843988476,1.1797166438793167,1.1647143157482855,0.6916722519639387,0.6192139843988476,0.9290635989352731,ePSF,PSFEx
20200906A,4.306289409382987,5.109542038651735,4.021336824825871,4.774741113797012,4.5529773466644015,3.379284387304558,3.8972937550587545,3.719154988683024,2.800141825416332,3.127365419410449,3.717528910030574,3.7035331208110023,3.16785217833578,4.260337410277194,4.977059351872628,3.9268887896219624,4.938901769354052,4.525796830281459,4.111796142143335,4.5116119098835625,3.866504836600874,4.096906429962073,-0.027180516382942166,0.16297171578987157,0.8494442258533992,0.6592919936805854,1.229360504724577,1.170513686531473,0.8494442258533992,0.6592919936805854,0.929054251626293,ePSF,PSFEx
20210320C,3.823202675744901,4.865579421484743,3.997564236854112,4.996634951485749,4.420745321392376,3.737986551706349,3.905081878838888,3.525317136130232,4.771939326724702,3.5742295304395246,3.8019631670906047,3.517670576894926,4.763766349202056,3.653799006332656,4.523139148746155,3.528578228703113,4.829971324077354,4.13387192696482,3.823915729118914,3.912551380755429,3.488402365407722,5.1983132521153825,-0.2868733944275563,-0.02926821148720382,0.9030747444974501,0.6454695615570976,1.2567252176565666,1.1850330019145183,0.9030747444974501,0.6454695615570976,0.4345469029133264,ePSF,PSFEx
20210410D,5.916997076571455,6.467456730594954,5.791857171558704,5.78140860291603,5.989429895410286,4.035818706795123,6.32953551285666,5.479777935600284,3.120127780015552,3.797480499910753,6.110376325702239,5.468673696444293,3.2041358553536536,5.589993213980819,6.018382190181463,5.496027745706088,5.850129278405565,5.738633107068483,3.571092690089967,5.93726931002076,5.495962496086234,2.3773773686418074,-0.25079678834180275,0.027288799641940642,0.5207561989659926,0.24267061098224918,1.0952253193136365,1.0441543426024211,0.5207561989659926,0.24267061098224918,-0.8267584867118463,PSFEx,PSFEx
20210807D,4.2110009637121815,5.235678971914102,5.143007922387792,5.691340006052895,5.070256966016743,2.9988782772311136,4.333322422978486,4.419393561568605,4.611737639477566,2.721857567486754,4.080201775074713,4.394681763250877,4.586468804791945,4.681194083657752,5.188010623181164,4.527306516346403,5.162695133593439,4.88980158919469,2.5210614250159797,3.8203419016369593,4.298216449040968,3.7149874122722317,-0.18045537682205293,-0.096465314209909,0.6755752027658657,0.5915851401537218,1.1537256254628372,1.137635027730099,0.6755752027658657,0.5915851401537218,-0.8714813925197133,PSFEx,PSFEx
20211127I,5.072517056962299,5.62861040660767,5.111944362715816,5.686496366527941,5.374892048203432,3.4503371241310883,5.2818989101147285,4.9828602733299165,3.1390163664889754,2.8798288368884792,4.734021390207044,4.939080861901793,3.27387325572727,5.219763521225367,5.571171384501909,4.88910674329059,5.479158554250873,5.289800050817185,2.596552727473268,4.408240160817431,4.876827569101479,2.658505341619743,-0.08509199738624762,-0.062253292800313886,0.4358111863016392,0.41297248171570544,1.0882373053786834,1.0846805583884511,0.4358111863016392,0.41297248171570544,-0.615367914107527,PSFEx,PSFEx
20211203C,4.069123556161739,5.009880349766346,3.933919267573129,4.73345143607636,4.436593652394394,3.25975084179786,3.718703950542841,3.620244955454605,2.1251027208859887,3.1863294965782516,3.66730796508493,3.6156937009196524,2.234599500648448,3.7285466971688646,4.757478603252729,3.522219937171851,4.658517219226411,4.166690614204964,3.1207927474749817,3.5639101953832935,3.554659737549585,3.3439681902263714,-0.2699030381894296,-0.06103396337006739,0.8208999514747415,0.6120308766553793,1.2270380235101068,1.1721770638663953,0.8208999514747415,0.6120308766553793,1.1093686895779236,ePSF,PSFEx
20211212A,4.385236257004975,5.325803689123263,4.966950211278263,5.581834430229419,5.06495614690898,3.4225996956237186,4.674034553889234,4.429104823697154,1.888211618970016,2.979779939612411,4.296264854922633,4.3973101460657915,2.340553588586849,5.679231353050616,6.016173478131811,5.526302445403659,6.042937644852008,5.816161230359523,5.9634842008015365,7.378852313799683,5.18111757977157,9.141123052472757,0.751205083450543,0.7838074337057783,0.6676460008431881,0.6350436505879529,1.1518305460988512,1.1225688552345017,0.6676460008431881,0.6350436505879529,6.800569463885909,ePSF,PSFEx
