frb,ra_deg,dec_deg,ra_hms,dec_dms,coord_semantics,xmin,xmax,ymin,ymax,survey,ra_err_as,dec_err_as,major_sigma_as,minor_sigma_as,pa_deg,z,DM,DM_MW,DM_exgal,status,repeater,repeater_source,discovery_facility,localization_facility,catalog_origin,mag_r,mag_r_err,mag_band,mag_source,inc_deg,inc_err_deg,b_a,notes
20121102A,82.99454166666665,33.14789722222222,05:31:58.69,+33:08:52.4,host,,,,,VLBI,,,,,,0.1927,557.0,188.4,368.6,secure,yes,"Chatterjee et al. 2017, Nature 541, 58 (doi:10.1038/nature20797)",Arecibo,VLA/EVN VLBI,master_frb_localization.csv,23.73,,GMOS-N r,Gordon et al. 2023 / Tendulkar et al. 2017,,,,First localized repeater; PRS; excluded from CHIME-only catalog
20180301A,93.227,4.671,06:12:54.48,+04:40:15.6,host,,,,,RealFAST,,,,,,0.3304,536.0,151.62,384.38,secure,yes,"Bhandari et al. 2022, AJ 163, 69 (doi:10.3847/1538-3881/ac3aec)",Parkes,RealFAST/VLA,master_frb_localization.csv,21.21,,NOT r,Gordon et al. 2023 / Bhandari et al. 2022,,,,Parkes discovery; excluded from CHIME-only catalog
20180814A,65.733375,73.661306,04:22:56.01,+73:39:40.7,host,,,,,CHIME,,,,,,0.06835,189.4,82.0,107.4,secure,yes,"CHIME/FRB Collaboration 2019, Nature 566, 235 (2nd repeater; 180814.J0422+73); host from Michilli et al. 2023",CHIME,CHIME baseband,CHIME/repeater_localizations.csv,17.15,,Pan-STARRS rK,Michili et al. sample63 tab:r2galaxies source 2,70.745,0.0,0.38,Host PanSTARRS-DR1 J042256.01+733940.7
20180916B,29.501167,65.714722,01:58:00.28,+65:42:53.0,host,,,,,CHIME,,,,,,0.0337,348.76,199.0,149.76,secure,yes,CHIME/FRB Collaboration 2019 (repeater); Marcote et al. 2020,CHIME,EVN (Marcote et al. 2020),CHIME/repeater_localizations.csv,16.17,,SDSS r,Gordon et al. frb_properties_new / Marcote et al.,36.7642,6.1234,0.81,Face-on spiral host SDSS J015800.28+654253.0
20181030A,158.594,73.763767,10:34:22.56,+73:45:49.6,host,,,,,CHIME,,,,,,0.00385,103.5,41.0,62.5,secure,yes,CHIME/FRB Collaboration 2019 (repeater); Bhardwaj et al. 2021,CHIME,CHIME / optical host,CHIME/repeater_localizations.csv,12.58,,DESI r,Bhardwaj et al. main.tex Tab2,81.1938,0.0,0.25,NGC 3252; MW extinction corrected
20190110C,249.318458,41.443389,16:37:16.43,+41:26:36.2,host,,,,,CHIME,,,,,,0.12244,221.6,37.1,184.5,secure,yes,CHIME/FRB RN3 repeater set (Ibik et al. 2024),CHIME,CHIME (Ibik et al. 2024),CHIME/repeater_localizations.csv,18.009,0.006,DESI r,Ibik et al. RN3-host,50.0636,0.0,0.66,Host SDSS J163716.43+412636.2 (PATH m_r gal)
20190208A,283.546958,46.922686,18:54:11.27,+46:55:21.7,host,,,,,CHIME,,,0.26,0.26,,,580.05,71.3,508.75,secure,yes,"CHIME repeater (Fonseca et al. 2020); EVN PRECISE localization + faint dwarf host (Hewitt et al. 2024, ApJL 977 L4)",CHIME,EVN PRECISE (Hewitt et al. 2024),CHIME/repeater_localizations.csv,27.32,0.16,GTC r,Hewitt et al. 2024 ApJL 977 L4 (O4),,,,True host r≈27.3 absent from Legacy cutout; no usable GALFIT inclination
20190303A,207.999417,48.120567,13:51:59.86,+48:07:14.0,host,,,,,CHIME,,,26.16,1.98,9.49,0.0644,221.0,29.3,191.7,secure,yes,"Fonseca et al. 2020, ApJL 891, L6 (repeater; 190303.J1353+48); Outriggers 20231204A burst (main.tex sec:FRB20231204A)",CHIME,CHIME Outriggers (via 20231204A),CHIME/repeater_localizations.csv,15.50,0.02,SDSS Petrosian r,Michili et al. tab:r17galaxies source 1,22.0329,0.0,0.93,Brighter galaxy of merging pair (host association >99%)
20190417A,294.77425,59.326861,19:39:05.82,+59:19:36.7,host,,,,,CHIME,,,0.004,0.004,,0.12817,1378.9,77.6,1301.3,secure,yes,"CHIME repeater (Fonseca et al. 2020); EVN PRECISE mas localization + dwarf host + compact PRS (arXiv:2509.05174, ApJL 2025)",CHIME,EVN PRECISE (Kirsten et al. 2025),CHIME/repeater_localizations.csv,21.47,,Gemini r,Ibik et al. 2024 Table 4 / PRECISE 2025,67.1384,6.872,0.43,GALFIT m=21.24 after host override (seg#1457); default run was artifact #1442
20190520B,240.51779166666665,-11.28813888888889,16:02:04.27,-11:17:17.3,host,,,,,FAST/VLA,,,,,,0.2418,1204.7,113.0,1091.7,secure,yes,"Niu et al. 2022, Nature 606, 873 (doi:10.1038/s41586-022-04755-5); Gordon et al. 2023 host photometry",FAST,VLA (Niu et al. 2022),literature (Gordon/SOURCES_AUDIT; not in master CSV),22.16,,SOAR r,Gordon et al. 2023 / Niu et al. 2022,,,,PRS host; DM_MW≈113 (Niu+22 / Simha+23); excluded from CHIME-only catalog
20190711A,329.419,-80.358,21:57:40.56,-80:21:28.8,host,,,,,CHIME,,,,,,0.522,593.1,56.4,536.68,secure,yes,CHIME repeater; ASKAP localization + host (Heintz et al. 2020; Gordon et al. 2023 verification),CHIME,ASKAP/CRAFT (Heintz et al. 2020),CHIME/repeater_localizations.csv,23.54,,GMOS-S r,Gordon et al. frb_properties_new / Heintz et al.,63.5545,1.4374,0.48,CRAFT host; replaces low-P AstroPath association
20191106C,199.580125,42.999714,13:18:19.23,+42:59:59.0,host,,,,,CHIME,,,29.88,1.98,9.9,0.1079,331.6,24.9,306.7,secure,yes,CHIME/FRB RN3 repeater (Ibik et al. 2024); Outriggers 20231128A confirms host (main.tex sec:FRB20231128A),CHIME,CHIME Outriggers (via 20231128A),CHIME/repeater_localizations.csv,17.306,0.003,DESI r,Ibik et al. RN3-host tab:catalogue,48.4461,0.0,0.68,Host SDSS J131819.23+425958.9
20200120E,149.477973,68.816879,09:57:54.71,+68:49:00.8,host,,,,,CHIME,,,,,,0.00029,87.77,35.0,52.77,secure,yes,Bhardwaj et al. 2021 ApJL; Kirsten et al. 2022,CHIME,EVN (Kirsten et al. 2022),CHIME/repeater_localizations.csv,17.09,,V (r proxy),Perelmuter & Racine 1995 / Harris M81-G01,39.6937,1.8963,0.78,M81 globular cluster GCl 01; V used as r-band proxy at z~0
20200223B,8.2695,28.831278,00:33:04.68,+28:49:52.6,host,,,,,CHIME,,,,,,0.06024,201.8,45.6,156.2,secure,yes,CHIME/FRB RN3 repeater set (Ibik et al. 2024),CHIME,CHIME (Ibik et al. 2024),CHIME/repeater_localizations.csv,16.080,0.001,DESI r,Ibik et al. RN3-host,45.0955,0.0,0.72,Host SDSS J003304.68+284952.6
20201124A,77.014488,26.060536,05:08:03.48,+26:03:37.9,host,,,,,CHIME,,,,,,0.0979,413.52,139.9,273.58,secure,yes,CHIME repeater; ASKAP localization + host (Fong et al. 2021; Nimmo et al. 2022 VLBI),CHIME,ASKAP + EVN VLBI (Fong/Nimmo),CHIME/repeater_localizations.csv,17.904,0.029,Pan-STARRS r,Fong et al. photometry.tex,59.938,0.7296,0.53,Host galaxy photometry table
20220912A,347.270174,48.706618,23:09:04.84,+48:42:23.8,host,,,,,CHIME,,,,,,0.0771,219.46,134.5,84.96,secure,yes,CHIME repeater (McKinven et al. 2022); DSA-110 localization + host (Ravi et al. 2023),CHIME,DSA-110 (Ravi et al. 2023),CHIME/repeater_localizations.csv,19.65,,Pan-STARRS r,Ravi et al. main.tex,52.43,1.5566,0.63,PSO J347.2702+48.7066 host
20230814B,335.976,73.026,22:23:54.24,+73:01:33.6,host,,,,,DSA-110,,,,,,0.5535,696.4,104.88,591.52,secure,yes,"Ravi, ATel #16191 (2023 Aug 16), DSA-110 repeater discovery+localization; host z=0.553/DM in Li et al. 2025, ApJ 989, 77",DSA-110,DSA-110,master_frb_localization.csv,,,,,,,,DSA designation FRB 20230814A (ATel #16191); refereed host z/DM: Li et al. 2025 ApJ 989 77; pipeline fit_log missing
20240114A,321.915979,4.329343,21:27:39.83,+04:19:45.6,host,,,,,CHIME,,,0.09,0.03,,0.130287,527.723,50.5,477.22,secure,yes,"CHIME repeater (Shin & CHIME/FRB 2024, ATel #16420); MeerKAT + EVN localization to SMC-like satellite dwarf host (arXiv:2506.11915)",CHIME,MeerKAT + EVN (Snelders et al. 2025),CHIME/repeater_localizations.csv,21.79,0.13,GALFIT r,CHIME pipeline 20240114A_all,55.4925,9.9468,0.59,Pipeline OK; seg#1134 @ 0.40 arcsec from CSV host
20240209A,289.85036,86.0609,19:19:24.09,+86:03:39.2,host,,,,,CHIME,,,2.12,1.08,9.54,0.1384,176.49,55.5,120.99,secure,yes,Shah et al. 2024 (CHIME Outriggers repeater),CHIME,CHIME Outriggers (Shah et al. 2024),CHIME/repeater_localizations.csv,16.79,0.02,Gemini r,Shah et al. FRB20240209A.tex,48.4461,0.8176,0.68,Host elliptical at z=0.1384; PATH P(O|x)=0.99
20251229A,310.346792,16.024039,20:41:23.23,+16:01:26.5,host,,,,,CHIME,,,,,,0.1275,192.14,94.6,97.54,secure,yes,CHIME repeater (ATel #17574); CHIME+GBO+KKO Outriggers localization (ATel #17709); GTC spec-z host (ATel #17856). PRELIMINARY (ATel-only),CHIME,CHIME Outriggers (ATel #17709),CHIME/repeater_localizations.csv,18.6,,PS1 r ATel #17709,ATel #17709 / #17856 GTC z,63.5545,0.7185,0.48,PRELIMINARY — ATel-only (no arXiv/refereed paper yet)
