objid,ra,dec,type,flux_g,flux_r,flux_z,shape_r,source_catalog
10634,320.7299873925305,-79.40388848792236,PSF,0.2417763,0.5322284,0.84314007,0.0,LS_DR10
10643,320.7312223747167,-79.39994089824786,PSF,0.022727817,0.07960991,0.57742995,0.0,LS_DR10
10669,320.7349274742845,-79.3918882637688,REX,0.21555944,0.68939704,-0.5893048,2.7008922,LS_DR10
10654,320.733042285596,-79.39509858252914,REX,0.09315941,0.14317556,0.12252119,0.5837391,LS_DR10
10645,320.7318547291031,-79.3970052374785,PSF,0.049357336,0.10986393,0.1772845,0.0,LS_DR10
10665,320.7344808006476,-79.3988071442513,PSF,0.04171717,0.20714231,0.5338045,0.0,LS_DR10
10680,320.7366763637348,-79.39976672239919,REX,0.045317966,0.090932354,0.5799738,0.3882614,LS_DR10
10697,320.7392785039876,-79.39944855190357,PSF,0.03144972,0.09327827,0.20990868,0.0,LS_DR10
10690,320.738278928313,-79.39766665014943,PSF,0.07404157,0.29181328,0.55763566,0.0,LS_DR10
10735,320.7438546358465,-79.39846445482101,PSF,0.08723749,0.1356418,0.12557982,0.0,LS_DR10
10722,320.7428868736854,-79.39728581213612,REX,0.28460655,0.6689977,1.3222164,0.34723374,LS_DR10
10725,320.7429785996113,-79.39444849114881,PSF,0.0032824373,0.1115957,-0.08660656,0.0,LS_DR10
10714,320.7418665130676,-79.39272897222943,DEV,0.69789124,1.7076916,3.999531,2.2010796,LS_DR10
10761,320.7460792346692,-79.39393713030532,REX,0.13575436,0.23821002,0.5219578,0.38455296,LS_DR10
226,320.7540138681385,-79.3978811849041,REX,0.14582875,0.24939424,0.53789914,0.7485579,LS_DR10
10638,320.7304474086901,-79.40644427609732,PSF,0.8888989,4.1922345,16.174505,0.0,LS_DR10
229,320.7542674348263,-79.40260632938708,REX,0.11551011,0.35897306,1.8510118,0.52330625,LS_DR10
234,320.7549826621988,-79.41049967281278,PSF,0.082939066,0.25907242,1.9024172,0.0,LS_DR10
242,320.7563771029087,-79.41134868717786,REX,0.17691489,0.3974308,0.9917097,0.8017643,LS_DR10
283,320.7613250371711,-79.41203046536123,PSF,0.14766437,0.7188367,3.5849657,0.0,LS_DR10
243,320.7566096977882,-79.40023606790848,PSF,0.06413595,0.1110834,0.22057153,0.0,LS_DR10
245,320.756790299729,-79.39910119400442,REX,0.16958539,0.28976634,0.48810115,0.55227053,LS_DR10
10652,320.732551857228,-79.38980815894485,REX,0.60384756,1.0701115,1.2245308,3.3369544,LS_DR10
10703,320.7403102485653,-79.38976342344861,REX,0.16779357,0.4443848,0.659014,1.9567078,LS_DR10
10644,320.731500048032,-79.38803716014928,REX,4.2795997,9.360325,13.131641,9.667397,LS_DR10
10695,320.7390521921283,-79.38784410191958,DEV,0.29655826,0.7732275,1.4579686,0.8903841,LS_DR10
10782,320.7497636885811,-79.38895798256492,REX,0.21281785,0.37887746,0.25660002,1.4645513,LS_DR10
10701,320.7402368654332,-79.384118750936,PSF,0.03066763,0.14338169,0.8432028,0.0,LS_DR10
262,320.7589159728723,-79.3868816131825,PSF,0.56330955,2.4822946,9.024174,0.0,LS_DR10
10704,320.7403666138983,-79.39163617985953,REX,0.18066232,0.34766728,0.47722223,0.9730535,LS_DR10
10738,320.7441561092561,-79.39122827363376,REX,0.33980408,0.52511865,0.6893203,1.266983,LS_DR10
240,320.7559843605924,-79.39300421145732,REX,0.08884473,0.24656631,0.028322974,1.2652779,LS_DR10
10784,320.7498239870068,-79.39044872152387,REX,0.07739454,0.16286232,0.2613895,1.672132,LS_DR10
287,320.7619263463691,-79.39328188544026,REX,0.059647918,0.20382144,0.627719,0.7833965,LS_DR10
274,320.760056166383,-79.38762230118999,PSF,77.59824,147.7146,211.18242,0.0,LS_DR10
10682,320.7368658452602,-79.38172777267614,REX,0.30806917,0.43588954,0.38507232,2.15216,LS_DR10
10785,320.7499019889113,-79.38218556715663,EXP,0.37879565,0.5362599,0.88502353,2.3893132,LS_DR10
277,320.7601717879691,-79.38447688759422,PSF,0.014093595,0.038570575,-0.052280016,0.0,LS_DR10
