objid,ra,dec,type,flux_g,flux_r,flux_z,shape_r,source_catalog
5097,6.913546574556372,-5.846722464417948,REX,0.06310156,0.20957391,0.33859465,0.19366899,LS_DR10
5203,6.91559654259455,-5.848877034390845,PSF,0.052931365,0.11354171,0.3657007,0.0,LS_DR10
5274,6.917340494177306,-5.848295068767779,EXP,0.3539439,0.45592165,0.5799927,1.2651105,LS_DR10
5122,6.913874616973682,-5.844971872914747,REX,0.18799083,0.44615975,0.62712467,0.87556803,LS_DR10
5227,6.916135629117496,-5.845072932898128,EXP,0.11654275,0.5138648,1.5811696,1.0559697,LS_DR10
5248,6.916677747126977,-5.843633698944741,EXP,0.31136054,0.5081209,1.3082063,0.7129758,LS_DR10
5153,6.91441907242533,-5.842931104734954,PSF,0.09508686,0.2321174,0.39809114,0.0,LS_DR10
5196,6.915499650504627,-5.840529172069962,REX,0.20376624,0.3088356,0.2750353,0.46728992,LS_DR10
5280,6.917510870381927,-5.841471965852416,PSF,0.2946967,0.4319587,0.5411698,0.0,LS_DR10
5697,6.928820447195915,-5.848351263827738,PSF,0.049123127,0.099707425,0.019710202,0.0,LS_DR10
5785,6.931414393560637,-5.848210444862571,EXP,0.963819,2.7442894,5.275479,0.5232233,LS_DR10
5719,6.929409610753158,-5.846722248871003,EXP,0.20119251,0.51374435,1.4016967,0.79191154,LS_DR10
5340,6.919173314671978,-5.845086065595725,REX,0.1935638,0.26386783,0.43932736,0.5851017,LS_DR10
5373,6.91999079795254,-5.84406856355215,PSF,0.045069,0.08988237,0.023259189,0.0,LS_DR10
5427,6.921284479000148,-5.843452587094871,PSF,0.024606261,0.10999358,0.17216034,0.0,LS_DR10
5533,6.92405010594951,-5.84420383447558,EXP,0.36531278,0.44663098,0.7987533,0.42940116,LS_DR10
5324,6.918732721172153,-5.842859606875439,EXP,0.36857903,0.44313824,0.97672445,0.7302466,LS_DR10
5407,6.920678552602246,-5.843041603238461,REX,0.06039728,0.11765333,0.33784822,0.31568018,LS_DR10
5354,6.919446460358795,-5.839948948497252,PSF,0.93099934,1.4559013,1.6889417,0.0,LS_DR10
5410,6.920764534766409,-5.840076769312139,PSF,0.15959594,0.19465749,0.28855336,0.0,LS_DR10
5495,6.923204140680095,-5.842911872289639,PSF,0.48144317,1.8199455,10.815145,0.0,LS_DR10
5496,6.9232211093372,-5.841824953753601,REX,0.076821305,0.29896334,2.1811244,0.6276213,LS_DR10
5516,6.923694085445401,-5.842550700492025,PSF,0.30134708,0.54475015,3.6829925,0.0,LS_DR10
5522,6.923845861907053,-5.841809451527777,REX,0.14356375,0.19047534,0.35106918,0.30340964,LS_DR10
5732,6.92978166461692,-5.845913802026712,DEV,0.04262335,0.31739664,2.036456,0.30188,LS_DR10
5714,6.929297229362651,-5.844183664363086,REX,0.022684364,0.19245897,1.3170621,0.24004748,LS_DR10
5779,6.931149883657989,-5.844641183927799,REX,0.052457143,0.11498729,0.18322375,0.27306315,LS_DR10
5701,6.929027120410795,-5.841493362208027,REX,0.25073996,1.4760469,5.2664,0.3725474,LS_DR10
5793,6.931644316208171,-5.842008669959249,EXP,0.17405465,0.41659534,0.49543342,0.7704301,LS_DR10
5904,6.93425432472229,-5.848867422750176,PSF,0.057696033,0.09659517,0.14635809,0.0,LS_DR10
5842,6.932711103555587,-5.847384700453902,PSF,0.049329106,0.10304701,0.04820411,0.0,LS_DR10
5965,6.935797630265113,-5.847117320139855,REX,0.46065354,0.8611953,1.0739619,0.28737935,LS_DR10
5993,6.936365723396237,-5.846434108265162,SER,5.152384,14.178074,26.050657,1.6713908,LS_DR10
6122,6.938954327214787,-5.84755714345409,EXP,0.3009056,0.40756553,0.7854816,0.21401015,LS_DR10
6185,6.94029300674141,-5.84830307661207,REX,0.03880873,0.095136814,0.48200285,0.3957765,LS_DR10
6178,6.940125736062081,-5.847292843540393,PSF,0.0375194,0.08092057,0.10052115,0.0,LS_DR10
6207,6.940839508428758,-5.847014468890397,DEV,0.31468597,0.43284336,1.0726535,0.56112516,LS_DR10
6219,6.941131344784072,-5.846590838641068,PSF,0.08032049,0.12260067,0.15120293,0.0,LS_DR10
6259,6.942113936986742,-5.846967764125261,REX,0.06710574,0.16342187,0.2754536,0.47782746,LS_DR10
5901,6.93409538012162,-5.846328831996708,PSF,0.034613542,0.07851121,0.05701561,0.0,LS_DR10
6031,6.937183046777877,-5.84630392580704,REX,0.26317942,0.4713195,0.44933394,0.495191,LS_DR10
6105,6.938736152154544,-5.845571463754777,REX,0.1038042,0.15140918,0.21033937,0.46580008,LS_DR10
6068,6.937922433614356,-5.843065132014083,REX,0.10427988,0.09514212,0.038615327,0.21243699,LS_DR10
6118,6.938915569083046,-5.842988548674973,PSF,0.05904549,0.07788961,0.07557916,0.0,LS_DR10
5841,6.932682920868196,-5.842982828935757,REX,0.013949787,0.11944918,0.6895188,0.23595029,LS_DR10
5906,6.934356904534347,-5.842535985427864,PSF,0.1007896,0.07627787,0.22877708,0.0,LS_DR10
5920,6.934710246495332,-5.840560442021225,REX,0.21048328,0.2559339,0.4667665,0.29810753,LS_DR10
5977,6.936027585703558,-5.841866146208059,REX,0.18428539,0.16170675,0.12980008,0.22588493,LS_DR10
6281,6.942539087559809,-5.845605546771308,PSF,0.022569437,0.122921,0.08499487,0.0,LS_DR10
6304,6.943200000204116,-5.845533259649447,REX,0.08199173,0.09683043,0.1675047,0.37250757,LS_DR10
6341,6.94402103420911,-5.845132568555535,PSF,6.609947,24.083336,86.14281,0.0,LS_DR10
6136,6.939254875428033,-5.840619866680293,PSF,0.6838941,0.78372115,1.4928187,0.0,LS_DR10
6133,6.939198144980129,-5.839535948968184,REX,0.150092,0.200812,0.48739147,0.58048934,LS_DR10
6179,6.94013909625644,-5.839634138492213,EXP,0.09898026,0.27769363,0.89299184,1.3859696,LS_DR10
6264,6.942223012968785,-5.84109997979965,REX,0.19136935,0.16284193,0.45202518,1.0425137,LS_DR10
6324,6.943608875522291,-5.841417180547273,PSF,1.4242127,3.4143403,5.5138845,0.0,LS_DR10
6346,6.944220614628944,-5.839824831462629,REX,0.002027449,0.19331929,1.4254102,0.19692111,LS_DR10
5105,6.913674639080926,-5.838306602204095,REX,0.1151835,0.08297227,0.28518277,0.40571362,LS_DR10
5169,6.914804237298023,-5.838089275809834,SER,1.9411801,6.388309,15.933899,0.9177461,LS_DR10
5224,6.916109928117218,-5.83888203860612,REX,0.11982718,0.1434631,0.18679595,0.30134502,LS_DR10
5309,6.918285200901584,-5.839157795068986,REX,0.19760673,0.24889015,0.15049516,0.33789924,LS_DR10
5308,6.91827532500828,-5.83758852197047,REX,0.10952361,0.06155281,0.22450756,0.58184105,LS_DR10
5245,6.916563594119546,-5.832297969418975,PSF,0.032042123,0.03573563,0.31993335,0.0,LS_DR10
5250,6.916725954985456,-5.832818653279345,REX,0.23162672,0.25857797,0.66418636,0.56503826,LS_DR10
5192,6.915418871000011,-5.830997393862138,REX,0.37754208,0.527411,1.3626605,0.2989181,LS_DR10
5176,6.915064759357688,-5.830222447544145,SER,0.609524,0.8513501,1.9204072,0.95379764,LS_DR10
5173,6.914900283722879,-5.82961912800327,REX,0.07164599,0.14470708,0.35248554,0.1930697,LS_DR10
