ra,dec,objid,gmag,rmag,imag,zmag,gKmag,rKmag,source_catalog
78.63895043,27.04762604,140450786389707734,21.8235,20.7423,19.8999,19.388,21.6417,20.7888,PS1
78.66130795,27.04775601,140450786613457896,19.8454,18.4904,17.6719,17.1763,19.9344,18.5924,PS1
78.65957565,27.06463047,140470786596228158,,22.0454,21.0084,20.3901,,22.0766,PS1
78.64877066,27.04948567,140450786487849982,,22.2366,21.7358,,,,PS1
78.66336578,27.063315,140470786633186484,,,,,,,PS1
78.64865284,27.05188986,140460786487542810,,,21.5464,20.9697,,,PS1
78.65869833,27.0522774,140460786587323332,21.2551,21.6528,20.7998,20.2316,21.5798,21.7064,PS1
78.66576896,27.05671107,140460786658028647,22.0458,21.1933,20.6498,20.0789,,21.2975,PS1
78.66413755,27.05989255,140470786641622463,,21.6277,20.5299,19.7564,,21.6517,PS1
78.66267119,27.05156595,140460786625982505,,21.8507,21.6796,20.8778,,,PS1
78.65371541,27.05341023,140460786537504684,,21.2097,20.0185,19.4295,,21.2745,PS1
78.64519512,27.04537147,140450786452305029,21.7952,20.7346,19.9627,19.4115,21.4329,20.9107,PS1
78.65468251,27.04923807,140450786547129677,21.9359,20.7536,19.9783,19.4854,21.6708,20.9575,PS1
78.6686202,27.05829033,140470786686630553,24.072,22.2731,20.5678,19.5576,,21.4193,PS1
78.65766595,27.04970343,140460786577110217,,21.8487,20.7382,20.0752,,21.7189,PS1
78.6668926,27.06292889,140470786668736103,,22.289,21.2796,20.943,,21.0758,PS1
78.66563838,27.06667022,140480786656760596,18.0004,16.3277,15.3557,14.7781,18.0787,16.3886,PS1
78.64845383,27.07204,140480786484907041,20.0648,18.996,18.35,17.9735,20.1366,19.0865,PS1
78.64832735,27.06098681,140470786483753794,16.8089,15.3195,14.4389,13.9681,16.8657,15.3524,PS1
78.63916384,27.06555344,140470786391959252,19.6819,18.2003,17.3773,16.8937,19.8118,18.2463,PS1
78.64913835,27.06315131,140470786491406360,,21.8314,20.9978,20.2752,,21.875,PS1
78.63867653,27.05972713,140470786387242248,21.8389,20.528,19.6778,19.1883,21.7913,20.6372,PS1
78.64588131,27.05495952,140460786459206543,20.142,18.83,18.0372,17.5821,20.2293,18.8937,PS1
78.64219731,27.06205388,140470786422535068,,22.2207,21.3178,,,22.0441,PS1
78.64215964,27.07178616,140480786421386687,,21.6958,21.1187,20.3099,,21.3317,PS1
78.65810048,27.06973363,140480786581324275,22.3097,20.5726,19.4716,18.8722,,20.6227,PS1
78.65971476,27.07031579,140480786597684931,,22.0107,21.1874,20.5155,,22.2624,PS1
78.65234293,27.07393827,140480786523779317,19.82,18.1572,17.1591,16.5615,19.9303,18.2344,PS1
78.6591902,27.06836749,140480786592302636,20.446,19.1331,18.3524,17.885,20.5499,19.2005,PS1
78.64305709,27.07246992,140480786430937552,,21.7296,20.9169,20.4385,,21.7704,PS1
78.6329466,27.06244993,140470786329835524,21.0944,19.7037,18.8632,18.3773,21.2848,19.7614,PS1
78.63595918,27.06597023,140470786360029751,21.1269,19.9456,19.2266,18.8015,21.2182,20.0129,PS1
78.65908334,27.07223067,140480786590717302,,22.1664,21.7016,20.7348,,22.3304,PS1
78.65839051,27.06858184,140480786584012874,,21.3307,,20.2677,,21.2636,PS1
78.66085595,27.07170047,140480786608896632,20.8336,19.5121,18.697,18.2059,20.9987,19.5828,PS1
