ra,dec,objid,gmag,rmag,imag,zmag,gKmag,rKmag,source_catalog
271.16346102,1.32064896,109582711634695223,21.544,20.8132,20.3484,20.158,21.6775,20.7702,PS1
271.16799016,1.3179729,109582711679371948,,,21.5977,,,,PS1
271.16814213,1.31974655,109582711681804191,,21.7693,21.3481,20.9009,,,PS1
271.1593859,1.31502123,109572711594038421,22.3868,22.0024,21.5454,,22.0954,21.683,PS1
271.15946751,1.31455575,109572711594767901,,,21.4614,20.9767,,,PS1
271.16213372,1.31906563,109582711621353337,,,21.382,20.8945,,,PS1
271.15737884,1.31540436,109572711573768982,,21.9251,21.4626,21.1974,,,PS1
271.16645547,1.31682571,109582711664830661,,21.87,21.8277,21.6765,,21.9341,PS1
271.15628448,1.31333553,109572711562856482,20.0363,19.4032,19.095,18.9083,20.2169,19.5237,PS1
271.15165932,1.3131996,109572711516696303,19.6946,19.1063,18.845,18.7024,19.839,19.1731,PS1
271.16319588,1.31549412,109572711632609092,20.7759,19.4788,18.9185,18.6281,20.9928,19.6471,PS1
271.16390689,1.31405197,109572711638757261,19.9108,19.2075,18.8397,18.6643,20.0636,19.3321,PS1
271.16039332,1.31514935,109572711604058652,,,20.9934,20.4667,,,PS1
271.16414696,1.31945716,109582711641483823,20.7808,20.1037,19.6687,19.4941,21.0714,20.3709,PS1
271.15845754,1.3188169,109582711584653062,20.1316,19.5292,19.1716,19.0354,20.2878,19.748,PS1
271.16136812,1.3201493,109582711613804644,20.8404,20.1663,19.818,19.6835,21.0687,20.4108,PS1
271.15528432,1.3147603,109572711552988216,20.4309,19.8397,19.5844,19.3919,20.6819,20.0685,PS1
271.1583162,1.31619201,109572711583209915,,21.784,21.7032,21.3857,,21.9637,PS1
271.16176464,1.31815803,109582711617502253,,21.7944,21.2365,20.9925,,21.6443,PS1
271.1563408,1.31549152,109572711563819043,,,21.5161,20.873,,,PS1
271.15845394,1.31881296,109582711584613467,20.1345,,19.1915,19.0635,20.2486,,PS1
271.15359008,1.31344575,109572711535936515,,21.8989,,21.2696,,,PS1
271.16414641,1.31738951,109582711641461123,20.2468,19.5938,19.1907,18.9443,20.372,19.7584,PS1
271.15661938,1.31482168,109572711566358221,21.4532,20.6086,20.1804,19.9784,21.8569,20.7444,PS1
271.14759263,1.32374235,109582711474999068,20.646,19.747,19.3434,19.1521,20.7913,19.8028,PS1
271.16000624,1.32378944,109582711600179015,20.0946,19.3408,18.9491,18.7632,20.2477,19.4965,PS1
271.1535762,1.32869761,109592711535744833,,,21.6402,21.1097,,,PS1
271.15229319,1.32822202,109592711524274141,19.8493,18.8518,18.4351,18.2228,19.9361,18.8466,PS1
271.14818461,1.32883292,109592711481975126,18.0921,16.9703,16.4826,16.2359,18.2255,17.0361,PS1
271.14777424,1.32973102,109592711477796160,20.5767,19.5301,19.128,18.8578,20.9582,19.6785,PS1
271.145735,1.32995405,109592711457506434,19.7098,19.0618,18.7647,18.6238,19.8777,19.1883,PS1
271.14558805,1.3240432,109582711456029313,,21.4728,21.3865,21.1551,,21.2716,PS1
271.14533842,1.32551168,109592711452271049,20.7223,19.3945,18.7032,18.3834,21.1046,19.5076,PS1
271.14440996,1.326278,109592711443932027,,,21.5042,21.2743,,,PS1
271.15269987,1.32614826,109592711527151874,20.4281,19.8165,19.5316,19.4149,20.7725,20.0068,PS1
271.1423949,1.32699717,109592711424132906,18.9188,18.2345,17.9377,17.7773,18.9586,18.3022,PS1
271.14422054,1.32547446,109592711442101115,22.3105,21.1524,20.5978,20.3083,,21.2824,PS1
271.15391372,1.32921991,109592711539105532,,21.9232,21.5289,,,,PS1
271.15187515,1.31575129,109572711517709402,,,21.7755,21.1773,,,PS1
271.15235244,1.31848011,109582711523302649,,,,19.9619,,,PS1
271.16085635,1.32495331,109592711608690425,,21.8033,21.2743,20.8367,,,PS1
271.15033836,1.32998375,109592711503426493,,21.7661,21.2401,20.6672,,21.5686,PS1
271.15408467,1.32540249,109592711540240939,,,21.4658,21.2063,,,PS1
271.15366888,1.32768243,109592711536633676,,21.902,21.2995,20.8279,,21.9895,PS1
271.14061961,1.32689843,109592711406442640,,,21.6496,21.0681,,,PS1
271.15385909,1.31598543,109572711538629677,,,21.5738,21.3398,,,PS1
271.15073254,1.32737726,109592711507273352,,,21.3748,20.9373,,,PS1
271.14187712,1.32625809,109592711418791990,,20.6882,19.5385,18.9604,,20.895,PS1
271.15837023,1.322335,109582711583687086,21.9166,20.6682,19.5194,19.0036,22.1001,20.7973,PS1
271.16341682,1.32396719,109582711634209278,,21.9778,21.5332,21.2244,,21.9135,PS1
