objid,ra,dec,type,flux_g,flux_r,flux_z,shape_r,source_catalog
724,352.3640815726446,-32.50679655300134,REX,0.25230995,0.35546604,0.010511699,0.57216746,LS_DR10
782,352.3682019251505,-32.50255827723055,REX,0.7093045,1.7412492,3.8192077,0.46688074,LS_DR10
906,352.3757398078757,-32.50626506571462,REX,0.08164177,0.37675956,1.601583,0.6501555,LS_DR10
909,352.3759100268516,-32.50434652866159,REX,0.41719216,0.6158655,2.270247,0.34142864,LS_DR10
888,352.3741620152181,-32.5031916329877,REX,1.2761142,3.2402678,8.702432,0.91938627,LS_DR10
899,352.375391787126,-32.50392745300828,EXP,0.27017534,0.99288255,2.0288978,0.70197564,LS_DR10
744,352.3660520092955,-32.50165068883634,REX,0.10583762,0.22037064,0.31671497,0.44318295,LS_DR10
797,352.3691569987975,-32.49974884382014,EXP,1.5666059,3.4300609,3.7422376,1.038263,LS_DR10
954,352.3789238736669,-32.50284745862993,PSF,0.404103,0.41829333,1.0860175,0.0,LS_DR10
907,352.3758370802332,-32.49810689285518,PSF,0.28626204,0.5715205,1.9831637,0.0,LS_DR10
943,352.3778758911277,-32.49831725139774,PSF,0.35337755,0.52947134,2.7147055,0.0,LS_DR10
836,352.371520916327,-32.4974828664086,REX,16.857182,41.503487,74.76162,0.5662746,LS_DR10
767,352.367267417339,-32.49293112759035,REX,1.2076367,2.3013957,5.898083,0.94962823,LS_DR10
884,352.3740342740937,-32.49749167158557,PSF,0.6268055,2.1283498,6.1379914,0.0,LS_DR10
882,352.3738951156914,-32.49442678003378,PSF,1.1440732,-0.9607301,0.48168856,0.0,LS_DR10
927,352.3769830138289,-32.49444497537393,PSF,13078.911,3218.9504,15962.983,0.0,LS_DR10
926,352.3769796176992,-32.49374984882421,PSF,31.149204,95.58594,505.81396,0.0,LS_DR10
991,352.3815124228407,-32.50623789729089,REX,1.1315174,2.4054618,2.9899936,1.1606388,LS_DR10
1059,352.3863277496449,-32.50709039273504,REX,0.3403598,0.3724428,1.06078,0.99669933,LS_DR10
1022,352.3840322090175,-32.50346405209105,EXP,1.388507,2.240806,3.223324,0.6318477,LS_DR10
1118,352.3899141964689,-32.50669611294265,REX,0.31316108,0.7158247,1.9878767,1.0704128,LS_DR10
1182,352.3936310126245,-32.50540264344291,PSF,0.17140485,0.16916808,0.21630472,0.0,LS_DR10
1204,352.3952677194592,-32.50411135352553,PSF,0.24149936,0.2621213,0.82379603,0.0,LS_DR10
1020,352.3835674054952,-32.50168368078527,PSF,0.16257404,0.16800903,-0.3369829,0.0,LS_DR10
1119,352.3900941897691,-32.5029543422909,REX,0.96772224,1.9565248,2.3344467,0.3298419,LS_DR10
1156,352.3920417528277,-32.5013450217412,PSF,0.13720335,0.19826646,0.0063859196,0.0,LS_DR10
1138,352.3911306540759,-32.50004520027714,REX,0.20770012,0.5672462,1.4320987,0.33766907,LS_DR10
992,352.3815471856417,-32.49822403344402,EXP,-0.25450164,2.469146,10.198519,3.3988414,LS_DR10
1078,352.3877947153443,-32.49775186472762,PSF,0.0398627,0.33933663,1.4979906,0.0,LS_DR10
1076,352.3877554163593,-32.496501901563,REX,0.29971337,0.33164585,-1.0090925,0.34572354,LS_DR10
734,352.3650408413249,-32.48965112302906,REX,0.26072794,0.31449407,0.5965021,0.26508322,LS_DR10
702,352.3628530092026,-32.4839992139825,PSF,0.20677727,0.34704456,0.61268526,0.0,LS_DR10
710,352.3632813563323,-32.48255075918169,REX,0.34413227,0.80172133,0.9730882,1.005004,LS_DR10
784,352.3682713596295,-32.48907102046916,REX,0.3482218,0.9494486,1.4225409,0.31472832,LS_DR10
858,352.3726962231199,-32.48915570438872,PSF,0.23734128,0.11750476,1.4385357,0.0,LS_DR10
868,352.3732882779985,-32.49137772937777,PSF,0.12417587,0.05515979,0.9436196,0.0,LS_DR10
959,352.3792609598854,-32.49058656639323,PSF,0.59710425,1.4863075,3.7218797,0.0,LS_DR10
799,352.3692280416337,-32.48695452507405,PSF,0.23748524,0.23242822,0.8627778,0.0,LS_DR10
765,352.3672135280347,-32.48577793011473,PSF,-0.037617676,2.3103359,-0.043295994,0.0,LS_DR10
934,352.3772234015368,-32.48688368885287,REX,0.20484234,0.29550138,1.7782546,0.38196334,LS_DR10
968,352.3796861804506,-32.48595939149479,PSF,8.302942,27.362265,56.008057,0.0,LS_DR10
966,352.3796277600278,-32.48383932421476,PSF,0.095804386,0.14757189,0.27393377,0.0,LS_DR10
728,352.3643168700321,-32.48000128222595,REX,0.14072424,0.5089859,0.6484063,0.51662296,LS_DR10
747,352.3664185869596,-32.48231052343696,EXP,1.4133568,3.8617272,7.643865,1.0900482,LS_DR10
