objid,ra,dec,type,flux_g,flux_r,flux_z,shape_r,source_catalog
9137,303.1054894923665,-55.34055300727461,PSF,106.12258,154.36412,184.08061,0.0,LS_DR10
9184,303.1071983220749,-55.33981713627176,REX,0.017015062,0.10208353,0.65790427,0.3271084,LS_DR10
8978,303.0993134266841,-55.35114928295008,PSF,0.07877393,0.21784496,0.21037944,0.0,LS_DR10
9017,303.1010548165345,-55.35028202328387,REX,0.027557863,0.14273345,1.266272,0.43023956,LS_DR10
9010,303.1007940532898,-55.35218546046872,PSF,0.014836877,0.12819627,0.16380869,0.0,LS_DR10
8969,303.0989267984662,-55.35981524985985,PSF,-0.0015759728,0.11045899,0.14770828,0.0,LS_DR10
9035,303.1018391234405,-55.36525682192665,REX,0.024599234,0.1697443,0.15296014,0.45353997,LS_DR10
8996,303.1004024380313,-55.36137583897672,REX,0.07834248,0.50753695,1.8827351,0.27149355,LS_DR10
9025,303.1012854105489,-55.36339331283403,PSF,0.07008348,0.059249267,0.1955857,0.0,LS_DR10
9053,303.1024421934438,-55.35781894968545,REX,0.15876883,0.33084297,0.43339512,0.19633801,LS_DR10
9055,303.1025833525254,-55.35665185161113,REX,0.91694593,1.7328739,2.43744,0.51243687,LS_DR10
9069,303.1032528187155,-55.35977000797732,REX,0.057318438,0.1280018,0.0962725,0.28086656,LS_DR10
9172,303.1069947429899,-55.35483000147927,REX,0.051851444,0.26206765,0.5319468,0.6264594,LS_DR10
9183,303.1071946060731,-55.35638895672178,REX,0.23319834,0.30480927,0.26972637,0.2791103,LS_DR10
9212,303.1079877997644,-55.36125465313403,REX,0.011491969,0.11983006,0.25820792,0.30010527,LS_DR10
9311,303.1109170612456,-55.36223761367707,REX,0.16819546,0.44245353,0.6896895,0.35594228,LS_DR10
9300,303.1105624793597,-55.36069469363924,PSF,0.11998748,0.48159975,2.0288343,0.0,LS_DR10
9321,303.1112072597908,-55.36178489480363,REX,0.21965265,0.21374704,0.28526944,0.23170857,LS_DR10
9054,303.102451410665,-55.37036022123984,PSF,0.07127475,0.25155938,1.0016042,0.0,LS_DR10
9087,303.1039104851124,-55.37288156729949,PSF,0.011349732,0.3122997,1.8801659,0.0,LS_DR10
9070,303.1032780360794,-55.36888096579739,REX,0.073559314,0.07903753,0.31859404,0.22731748,LS_DR10
9074,303.103442174244,-55.36629450046077,REX,0.11194856,0.18669297,0.5097847,0.3755478,LS_DR10
9163,303.1067445066206,-55.36757813673213,REX,0.081673324,0.2301259,0.56595945,0.22726464,LS_DR10
9127,303.1051853917811,-55.36991392078318,REX,0.098492615,0.10622147,0.45269448,0.46988386,LS_DR10
9285,303.1101222079278,-55.36909308004277,REX,0.097470865,0.08811613,0.20711721,0.32085276,LS_DR10
9306,303.1108086619266,-55.36764800910252,PSF,0.031842325,0.12734176,0.23960006,0.0,LS_DR10
9330,303.1114862807433,-55.36842020788574,REX,0.15113679,0.22758539,0.2211183,0.4024164,LS_DR10
9483,303.1168718878779,-55.37156163298486,PSF,0.015780697,0.0667156,0.45698747,0.0,LS_DR10
9315,303.1110863039879,-55.36563607700201,PSF,0.5119453,1.4991509,2.6117647,0.0,LS_DR10
9372,303.1128606326453,-55.36443286645018,REX,1.2245265,2.1196573,2.652425,0.3413344,LS_DR10
9440,303.1155263739118,-55.3646180792383,REX,0.08155081,0.15741472,0.22943826,0.21749735,LS_DR10
9485,303.1169713650086,-55.36294821951512,REX,0.070919536,0.12059957,0.35851592,0.2884434,LS_DR10
9550,303.1188224018734,-55.3639030815926,EXP,0.30642542,0.56186515,1.5392146,0.61957145,LS_DR10
9527,303.1182023696503,-55.36579385125023,PSF,0.61890167,1.1282309,1.4715258,0.0,LS_DR10
9575,303.1196614304446,-55.36615195931902,REX,0.054463793,0.24095538,0.19084248,0.8269775,LS_DR10
9583,303.1198787671414,-55.36514638887903,REX,0.18492337,0.30191594,0.70340914,0.36165977,LS_DR10
9471,303.1164454107565,-55.36881698137672,PSF,0.05073856,0.34371707,1.8900391,0.0,LS_DR10
9490,303.1171763757397,-55.37002957291357,REX,0.11520696,0.34637287,0.60324365,0.5171902,LS_DR10
9600,303.1206209128281,-55.36781747777967,EXP,0.5963702,2.184597,6.7840405,0.3216419,LS_DR10
9646,303.1220550894137,-55.36620040543571,REX,0.14528121,0.38532722,1.2193882,0.40550837,LS_DR10
