FRB,Status,Count,Catalog
20190611B,Success,38,LS_DR10
20190711A,Success,13,LS_DR10
20191228A,Success,19,LS_DR10
20200430A,Success,84,LS_DR10
20200627A,Success,86,LS_DR10
20210117A,Success,71,LS_DR10
20210214G,Success,194,LS_DR10
20210407E,Success,35,PS1
20210809C,Success,50,PS1
20210912A,Success,50,LS_DR10
20220105A,Success,144,LS_DR10
20220501C,Success,68,LS_DR10
20220531A,Success,62,LS_DR10
20220610A,Success,98,LS_DR10
20220725A,Success,239,LS_DR10
20220918A,Success,14,LS_DR10
20221106A,Success,149,LS_DR10
20230521A,Success,116,LS_DR10
20230526A,Success,122,LS_DR10
20230708A,Success,103,LS_DR10
20230718A,Not Found,0,None
20230731A,Not Found,0,None
20230902A,Success,146,LS_DR10
20231006A,Success,81,LS_DR10
20231226A,Success,130,LS_DR10
20240201A,Success,108,LS_DR10
20240208A,Success,258,LS_DR10
20240210A,Success,140,LS_DR10
20240304A,Success,104,LS_DR10
20240310A,Success,132,LS_DR10
20240318A,Success,52,LS_DR10
