objid,ra,dec,type,flux_g,flux_r,flux_z,shape_r,source_catalog,mag,ang_size,prior_O,posterior_O
10669,320.7349274742845,-79.3918882637688,REX,0.21555944,0.68939704,-0.5893048,2.7008922,LS_DR10,22.903826464034807,2.7008922,0.031003420511741465,0.0035942109422032417
10654,320.733042285596,-79.39509858252914,REX,0.09315941,0.14317556,0.12252119,0.5837391,LS_DR10,24.610327773907734,0.5837391,0.00779634252733064,0.00015234831940694356
10680,320.7366763637348,-79.39976672239919,REX,0.045317966,0.090932354,0.5799738,0.3882614,LS_DR10,25.103203915057065,0.3882614,0.005389627063856392,1.6561419649171423e-05
10722,320.7428868736854,-79.39728581213612,REX,0.28460655,0.6689977,1.3222164,0.34723374,LS_DR10,22.936438438312226,0.34723374,0.030150761521616512,0.8814564244524467
10714,320.7418665130676,-79.39272897222943,DEV,0.69789124,1.7076916,3.999531,2.2010796,LS_DR10,21.91897639458532,2.2010796,0.07402270551991201,0.012941248027088082
10761,320.7460792346692,-79.39393713030532,REX,0.13575436,0.23821002,0.5219578,0.38455296,LS_DR10,24.057599936066936,0.38455296,0.011980657730236767,5.942648007989314e-07
226,320.7540138681385,-79.3978811849041,REX,0.14582875,0.24939424,0.53789914,0.7485579,LS_DR10,24.007783952976723,0.7485579,0.012463856841146542,0.05363516614513879
229,320.7542674348263,-79.40260632938708,REX,0.11551011,0.35897306,1.8510118,0.52330625,LS_DR10,23.61234535719177,0.52330625,0.01714180395497035,1.396950914171202e-07
242,320.7563771029087,-79.41134868717786,REX,0.17691489,0.3974308,0.9917097,0.8017643,LS_DR10,23.501846197672243,0.8017643,0.018767167003020807,2.4161465229227334e-14
245,320.756790299729,-79.39910119400442,REX,0.16958539,0.28976634,0.48810115,0.55227053,LS_DR10,23.844880161734924,0.55227053,0.01419769291209375,0.003647004682902369
10652,320.732551857228,-79.38980815894485,REX,0.60384756,1.0701115,1.2245308,3.3369544,LS_DR10,22.426427421880692,3.3369544,0.04695275868014134,0.002416265049311429
10703,320.7403102485653,-79.38976342344861,REX,0.16779357,0.4443848,0.659014,1.9567078,LS_DR10,23.38060201085482,1.9567078,0.020744513217116248,0.00018452080932704326
10644,320.731500048032,-79.38803716014928,REX,4.2795997,9.360325,13.131641,9.667397,LS_DR10,20.071772679635444,9.667397,0.43961102006327385,0.033587970539709154
10695,320.7390521921283,-79.38784410191958,DEV,0.29655826,0.7732275,1.4579686,0.8903841,LS_DR10,22.779231771483676,0.8903841,0.03450789928746234,6.8453830239775075e-09
10782,320.7497636885811,-79.38895798256492,REX,0.21281785,0.37887746,0.25660002,1.4645513,LS_DR10,23.553753076999886,1.4645513,0.01798379548140231,9.805443913500163e-06
10704,320.7403666138983,-79.39163617985953,REX,0.18066232,0.34766728,0.47722223,0.9730535,LS_DR10,23.64709045034179,0.9730535,0.016662732735974784,1.5391636706707535e-05
10738,320.7441561092561,-79.39122827363376,REX,0.33980408,0.52511865,0.6893203,1.266983,LS_DR10,23.199356392826186,1.266983,0.02413214334748526,9.213740180478198e-05
240,320.7559843605924,-79.39300421145732,REX,0.08884473,0.24656631,0.028322974,1.2652779,LS_DR10,24.020165660598096,1.2652779,0.012341811870159656,0.00031777666731546973
10784,320.7498239870068,-79.39044872152387,REX,0.07739454,0.16286232,0.2613895,1.672132,LS_DR10,24.470448457260545,1.672132,0.008678215598963727,6.506758057546104e-05
287,320.7619263463691,-79.39328188544026,REX,0.059647918,0.20382144,0.627719,0.7833965,LS_DR10,24.226875336104307,0.7833965,0.010485043391063925,5.877075509465151e-06
10682,320.7368658452602,-79.38172777267614,REX,0.30806917,0.43588954,0.38507232,2.15216,LS_DR10,23.40155888145204,2.15216,0.020387235633938,3.417250389485082e-07
10785,320.7499019889113,-79.38218556715663,EXP,0.37879565,0.5362599,0.88502353,2.3893132,LS_DR10,23.176561692842366,2.3893132,0.02459879510709335,1.8137828575736618e-06
