objid,ra,dec,type,flux_g,flux_r,flux_z,shape_r,source_catalog,mag,ang_size,prior_O,posterior_O
5097,6.913546574556372,-5.846722464417948,REX,0.06310156,0.20957391,0.33859465,0.19366899,LS_DR10,24.196656959854003,0.19366899,0.001604017380514004,0.0
5274,6.917340494177306,-5.848295068767779,EXP,0.3539439,0.45592165,0.5799927,1.2651105,LS_DR10,23.352774460752578,1.2651105,0.0031716750400147663,7.837864767347088e-13
5122,6.913874616973682,-5.844971872914747,REX,0.18799083,0.44615975,0.62712467,0.87556803,LS_DR10,23.376274029669684,0.87556803,0.003110379400429731,0.0
5227,6.916135629117496,-5.845072932898128,EXP,0.11654275,0.5138648,1.5811696,1.0559697,LS_DR10,23.222877826721785,1.0559697,0.0035348951305502908,5.283490493843133e-32
5248,6.916677747126977,-5.843633698944741,EXP,0.31136054,0.5081209,1.3082063,0.7129758,LS_DR10,23.235082353365883,0.7129758,0.0034989286078857124,0.0
5196,6.915499650504627,-5.840529172069962,REX,0.20376624,0.3088356,0.2750353,0.46728992,LS_DR10,23.775681608985018,0.46728992,0.002242784088814596,0.0
5785,6.931414393560637,-5.848210444862571,EXP,0.963819,2.7442894,5.275479,0.5232233,LS_DR10,21.40392522968384,0.5232233,0.017818519221494432,0.0
5719,6.929409610753158,-5.846722248871003,EXP,0.20119251,0.51374435,1.4016967,0.79191154,LS_DR10,23.223132353311904,0.79191154,0.00353414098555073,1.2568961785112357e-33
5340,6.919173314671978,-5.845086065595725,REX,0.1935638,0.26386783,0.43932736,0.5851017,LS_DR10,23.94653388618837,0.5851017,0.001955226297818557,0.0
5533,6.92405010594951,-5.84420383447558,EXP,0.36531278,0.44663098,0.7987533,0.42940116,LS_DR10,23.375127889813864,0.42940116,0.003113339088123537,0.0
5324,6.918732721172153,-5.842859606875439,EXP,0.36857903,0.44313824,0.97672445,0.7302466,LS_DR10,23.38365192877783,0.7302466,0.003091399992162981,6.079589387893191e-136
5407,6.920678552602246,-5.843041603238461,REX,0.06039728,0.11765333,0.33784822,0.31568018,LS_DR10,24.8234894406598,0.31568018,0.0009912957799917247,0.0
5496,6.9232211093372,-5.841824953753601,REX,0.076821305,0.29896334,2.1811244,0.6276213,LS_DR10,23.81095515805036,0.6276213,0.0021798554467978635,1.9282426343657213e-32
5522,6.923845861907053,-5.841809451527777,REX,0.14356375,0.19047534,0.35106918,0.30340964,LS_DR10,24.300403106337868,0.30340964,0.001479032328359028,0.0
5732,6.92978166461692,-5.845913802026712,DEV,0.04262335,0.31739664,2.036456,0.30188,LS_DR10,23.74599418762954,0.30188,0.002297274342465085,0.0
5714,6.929297229362651,-5.844183664363086,REX,0.022684364,0.19245897,1.3170621,0.24004748,LS_DR10,24.289154606971422,0.24004748,0.001492056528803725,0.0
5779,6.931149883657989,-5.844641183927799,REX,0.052457143,0.11498729,0.18322375,0.27306315,LS_DR10,24.84837540320121,0.27306315,0.0009729619638814797,0.0
5701,6.929027120410795,-5.841493362208027,REX,0.25073996,1.4760469,5.2664,0.3725474,LS_DR10,22.077249607489076,0.3725474,0.009580178053600487,1.3923235059512766e-122
5793,6.931644316208171,-5.842008669959249,EXP,0.17405465,0.41659534,0.49543342,0.7704301,LS_DR10,23.450713980855493,0.7704301,0.0029245125866303617,7.126860330463286e-10
