objid,ra,dec,type,flux_g,flux_r,flux_z,shape_r,source_catalog,mag,ang_size,prior_O,posterior_O
677,350.7866625360735,-30.41158808782704,REX,0.9120376,2.0767465,5.7407928,0.99272317,LS_DR10,21.706541281977408,0.99272317,0.03270381163947499,3.063234450626845e-05
718,350.790275871442,-30.41152431481812,EXP,1.0405,1.2462525,2.8730438,1.29933,LS_DR10,22.260984893696474,1.29933,0.01977018093912023,0.0051298436731684865
578,350.7789755376804,-30.40843065664861,REX,0.28453505,0.291205,0.72938746,0.38270152,LS_DR10,23.839502931108978,0.38270152,0.005184207927103819,0.0
640,350.7834081963157,-30.40949107251095,REX,0.11116464,0.47988155,1.4763547,0.22454846,LS_DR10,23.29716486765291,0.22454846,0.008084137602983064,0.0
630,350.7829493022635,-30.4031610184819,DEV,0.62565666,4.018208,9.649347,4.9324894,LS_DR10,20.989918965065634,4.9324894,0.06432855662676507,0.32563765074997325
715,350.7900891668542,-30.39717319597183,REX,0.35520774,0.41004428,0.4587027,0.30455974,LS_DR10,23.467923105022106,0.30455974,0.007016525651881225,5.461131901250492e-237
723,350.7907255134643,-30.39405454912926,REX,0.51029104,1.0173136,1.3827237,0.24621941,LS_DR10,22.481362873948115,0.24621941,0.016263846865254346,0.0
733,350.7915282370419,-30.39255980489972,EXP,0.44271773,1.0965648,3.7276866,0.7863795,LS_DR10,22.3999142479714,0.7863795,0.017475160523964976,5.057829595528099e-12
705,350.7889327976632,-30.39225098587955,REX,0.4280347,0.5429723,1.434947,0.4283024,LS_DR10,23.163055813983686,0.4283024,0.009045547420362027,0.0
962,350.80715985652,-30.41842256753597,REX,0.84962755,3.7659712,10.843922,0.30845162,LS_DR10,21.060307513857936,0.30845162,0.060114361461819144,0.0
1010,350.8101096444026,-30.41898612346241,REX,0.34644842,0.6705594,0.10197225,0.79843384,LS_DR10,22.9339068627651,0.79843384,0.01098561202850207,0.0
818,350.7970261407536,-30.41116725781484,REX,0.43983173,0.89604586,1.7038839,0.46975794,LS_DR10,22.61917440599185,0.46975794,0.014414675368656022,7.24807987550966e-09
878,350.8014965901778,-30.41442875525767,REX,0.418605,1.019018,0.72420496,0.24841902,LS_DR10,22.479545361299852,0.24841902,0.016289872510732235,0.0
797,350.795780778844,-30.41009342009631,REX,1.5754566,3.645595,6.428673,0.3048938,LS_DR10,21.095578950169994,0.3048938,0.05811387484499271,7.2108746568018e-10
827,350.7973132104039,-30.40983314890233,EXP,0.7059654,2.8997235,5.7980967,0.480761,LS_DR10,21.344108529519186,0.480761,0.045876764526941935,1.5271947152265072e-06
765,350.793488488846,-30.39743150576826,REX,0.19491549,0.48699704,0.33706948,0.37659055,LS_DR10,23.281184196119334,0.37659055,0.008192684052900814,1.9674617097503418e-66
745,350.7922885352939,-30.3955593073882,EXP,0.67879075,2.1516562,3.9988916,1.0805023,LS_DR10,21.668067801811222,1.0805023,0.03388814370761582,5.7803015097513875e-06
857,350.7999375973596,-30.39864285665769,EXP,0.9780563,1.275088,1.5394381,0.5400109,LS_DR10,22.236149603573935,0.5400109,0.02021343849077851,3.536896763427958e-11
855,350.7998082966837,-30.39784304112601,REX,0.45765463,0.6623917,0.832431,0.37596324,LS_DR10,22.947212795127623,0.37596324,0.010861487976076951,2.0564146632717957e-163
944,350.8056376309747,-30.40587846148118,DEV,1.0453217,5.283338,11.436131,0.7649068,LS_DR10,20.692729011405255,0.7649068,0.08590387404854022,1.1580861444859924e-08
977,350.8078042672479,-30.40435753740213,REX,0.21295105,0.3179594,0.44999555,0.3900378,LS_DR10,23.744070828039302,0.3900378,0.005599188658638302,0.0
996,350.8092721645058,-30.40456980209332,REX,0.20019451,0.7143199,0.8226517,0.5621849,LS_DR10,22.86526812710428,0.5621849,0.011650625395722782,3.9561523682162285e-280
832,350.7980681733238,-30.39379493726272,REX,0.77161306,0.9067895,-0.17149268,2.203994,LS_DR10,22.60623379337103,2.203994,0.014578314281486239,0.00044999642048354445
775,350.7944102717099,-30.39121159149161,EXP,0.73463994,1.5263914,2.2251995,0.96622,LS_DR10,22.040835223841608,0.96622,0.024093410150274355,2.2901883695248315e-10
798,350.7957925548983,-30.39214568343872,REX,0.5384078,0.79006255,1.3514876,0.7434955,LS_DR10,22.75584630960785,0.7434955,0.012801963687493523,1.65863456296333e-34
846,350.7989829497795,-30.39300587141682,SER,6.586867,9.494793,10.973568,1.6993053,LS_DR10,20.056286247653826,1.6993053,0.16236973630877077,0.00014267634769753694
849,350.7990487920042,-30.39229341960596,DEV,1.8583369,6.2394643,18.398695,1.0171211,LS_DR10,20.512131739552363,1.0171211,0.10266653345332856,5.399589139112948e-09
824,350.7971807058344,-30.3893147573898,EXP,0.7948829,1.3595129,4.2158513,1.1205243,LS_DR10,22.16654166792523,1.1205243,0.021513463849819246,1.821671832453698e-10
