objid,ra,dec,type,flux_g,flux_r,flux_z,shape_r,source_catalog,mag,ang_size,prior_O,posterior_O
724,352.3640815726446,-32.50679655300134,REX,0.25230995,0.35546604,0.010511699,0.57216746,LS_DR10,23.62300470987492,0.57216746,0.003285442653115478,0.0
782,352.3682019251505,-32.50255827723055,REX,0.7093045,1.7412492,3.8192077,0.46688074,LS_DR10,21.89784767525077,0.46688074,0.014589858348353574,0.0
906,352.3757398078757,-32.50626506571462,REX,0.08164177,0.37675956,1.601583,0.6501555,LS_DR10,23.55983929741673,0.6501555,0.003459644295391972,0.0
909,352.3759100268516,-32.50434652866159,REX,0.41719216,0.6158655,2.270247,0.34142864,LS_DR10,23.026285309628587,0.34142864,0.005399847138332052,0.0
888,352.3741620152181,-32.5031916329877,REX,1.2761142,3.2402678,8.702432,0.91938627,LS_DR10,21.223547737403223,0.91938627,0.027349145417350618,1.0403740324129454e-09
899,352.375391787126,-32.50392745300828,EXP,0.27017534,0.99288255,2.0288978,0.70197564,LS_DR10,22.507755305004476,0.70197564,0.00845043518949754,4.923727074726783e-70
744,352.3660520092955,-32.50165068883634,REX,0.10583762,0.22037064,0.31671497,0.44318295,LS_DR10,24.142115667646728,0.44318295,0.002166703169010704,0.0
797,352.3691569987975,-32.49974884382014,EXP,1.5666059,3.4300609,3.7422376,1.038263,LS_DR10,21.161745422707103,1.038263,0.029008216616449495,6.646540894178162e-08
836,352.371520916327,-32.4974828664086,REX,16.857182,41.503487,74.76162,0.5662746,LS_DR10,18.45478853404871,0.5662746,0.47627052417021065,8.647152239176138e-10
767,352.367267417339,-32.49293112759035,REX,1.2076367,2.3013957,5.898083,0.94962823,LS_DR10,21.595021756727192,0.94962823,0.019284632220727925,3.716659719138026e-07
991,352.3815124228407,-32.50623789729089,REX,1.1315174,2.4054618,2.9899936,1.1606388,LS_DR10,21.547003838829273,1.1606388,0.020166558154342692,2.1715777545352334e-09
1059,352.3863277496449,-32.50709039273504,REX,0.3403598,0.3724428,1.06078,0.99669933,LS_DR10,23.572351042536635,0.99669933,0.0034243603263025327,6.534664772145754e-25
1022,352.3840322090175,-32.50346405209105,EXP,1.388507,2.240806,3.223324,0.6318477,LS_DR10,21.623989353281416,0.6318477,0.018772552099018836,2.1811093411817537e-143
1118,352.3899141964689,-32.50669611294265,REX,0.31316108,0.7158247,1.9878767,1.0704128,LS_DR10,22.86298330017997,1.0704128,0.006207707179467048,8.085116087613855e-18
1119,352.3900941897691,-32.5029543422909,REX,0.96772224,1.9565248,2.3344467,0.3298419,LS_DR10,21.771286607032977,0.3298419,0.016383710341416925,0.0
1138,352.3911306540759,-32.50004520027714,REX,0.20770012,0.5672462,1.4320987,0.33766907,LS_DR10,23.11557101196393,0.33766907,0.005006663722760971,0.0
992,352.3815471856417,-32.49822403344402,EXP,-0.25450164,2.469146,10.198519,3.3988414,LS_DR10,21.518633073955407,3.3988414,0.02070775274801253,0.14376857236740062
1076,352.3877554163593,-32.496501901563,REX,0.29971337,0.33164585,-1.0090925,0.34572354,LS_DR10,23.69831358202419,0.34572354,0.0030900635205284486,1.267571485133237e-209
734,352.3650408413249,-32.48965112302906,REX,0.26072794,0.31449407,0.5965021,0.26508322,LS_DR10,23.755968847649783,0.26508322,0.002948995639507026,0.0
710,352.3632813563323,-32.48255075918169,REX,0.34413227,0.80172133,0.9730882,1.005004,LS_DR10,22.739941404334242,1.005004,0.006902081647226968,2.1150367749991793e-11
784,352.3682713596295,-32.48907102046916,REX,0.3482218,0.9494486,1.4225409,0.31472832,LS_DR10,22.5563213538856,0.31472832,0.008098130585289194,2.3849849022156517e-280
934,352.3772234015368,-32.48688368885287,REX,0.20484234,0.29550138,1.7782546,0.38196334,LS_DR10,23.823601216525464,0.38196334,0.002792352244368669,3.1021492364840254e-07
728,352.3643168700321,-32.48000128222595,REX,0.14072424,0.5089859,0.6484063,0.51662296,LS_DR10,23.233235620960716,0.51662296,0.004534958811990979,0.0
747,352.3664185869596,-32.48231052343696,EXP,1.4133568,3.8617272,7.643865,1.0900482,LS_DR10,21.03304602222224,1.0900482,0.032816359335716846,2.226041097505951e-08
947,352.378348558719,-32.4810751224182,EXP,0.8659024,2.2232215,5.400664,1.0476446,LS_DR10,21.632543165749645,1.0476446,0.018624127867808333,5.137759539265614e-06
820,352.3705753329217,-32.47711037570765,EXP,1.0433425,2.907219,4.720008,1.2709966,LS_DR10,21.341305629286413,1.2709966,0.024460911975709838,2.45938813564756e-08
863,352.3730321574504,-32.47506884826762,REX,0.065132625,0.15300767,0.30669376,0.2455281,LS_DR10,24.538216995583696,0.2455281,0.0015927318304895346,0.0
1170,352.3930883930818,-32.49111640071397,EXP,0.504385,0.9993072,0.75392276,1.4157726,LS_DR10,22.500752458724467,1.4157726,0.008502576627576532,6.82841854287998e-06
1100,352.3889343104078,-32.48798701692083,SER,2.3084514,5.4652815,8.335236,1.233331,LS_DR10,20.65596865988124,1.233331,0.047362476696764355,0.000485693178961735
1065,352.3867195976068,-32.48618710510755,REX,0.078907415,0.32400537,0.7674166,0.32100117,LS_DR10,23.723619479560313,0.32100117,0.003027265886576837,9.481151610945837e-111
1129,352.3907951717482,-32.48593816240011,REX,0.7262237,0.9584332,1.275293,0.71839964,LS_DR10,22.546095376976155,0.71839964,0.008170979508437533,1.0757760302432133e-10
1193,352.3944194246247,-32.49357765037863,REX,0.17890878,0.4488496,0.6672021,0.28875756,LS_DR10,23.369747893773305,0.28875756,0.004046990439602631,0.0
1197,352.3946346939181,-32.48456359921963,REX,0.66867775,1.2593842,1.9576621,0.33344674,LS_DR10,22.249604398943983,0.33344674,0.010620666112255314,0.0
986,352.3809597432733,-32.47552064509081,EXP,1.3418258,3.5072885,6.995017,1.516067,LS_DR10,21.137571271919626,1.516067,0.029685994577200378,8.467509859536744e-07
1189,352.3940544714177,-32.4829235545381,REX,0.25672463,0.2950451,0.8042488,0.42118213,LS_DR10,23.82527898391843,0.42118213,0.002788582903189071,0.0
