FRB,Source_Catalog,loc_a,loc_b,loc_pa,P_U,Best_ObjID,Best_Mag,Separation_as,Best_Posterior
20181112A,LS_DR10,3.8,2.4,0.0,0.005544661199263961,1585,19.80399581042677,5.4502768749640005,0.6687190080452292
20190611B,LS_DR10,2.41,1.28,-68.0,0.00785932749379576,10722,22.936438438312226,2.082623679592124,0.8814564244524467
20190711A,LS_DR10,2.28,1.49,0.0,0.0017932937504894456,5615,23.13312170468695,1.2774594365418346,0.8225781273504832
20200430A,LS_DR10,0.46,0.43,17.2,0.02736406353046506,2181,21.138546563161604,1.0240926974657505,0.9704337565655528
20200627A,LS_DR10,0.5,0.5,0.0,0.7287976187232856,5613,20.63731991431998,17.325192235606746,0.13277883179825994
20210214G,LS_DR10,0.5,0.5,0.0,0.28105265890712555,5674,22.43347912367396,7.095779120666219,0.41175522029250433
20210407E,PS1,0.89,0.53,-39.6,0.9999999999755929,140470786422535068,22.2207,31.247483733898893,2.440711997337987e-11
20210809C,PS1,0.5,0.5,0.0,0.9999999004010948,109592711503426493,21.7661,24.593269520606043,9.847525377910128e-08
20210912A,LS_DR10,0.44,0.43,66.2,0.6686018675667152,630,20.989918965065634,33.89976779537788,0.32563765074997325
20220105A,LS_DR10,1.51,0.82,-30.5,0.014448795720842816,3978,21.201513241388515,1.6977977955793644,0.9508755595073151
20220501C,LS_DR10,0.42,0.42,66.8,0.8557321221185776,992,21.518633073955407,27.957091885770325,0.14376857236740062
20220531A,LS_DR10,0.5,0.5,0.0,0.8041712748437388,5715,20.79929321283594,16.287095051575815,0.12530968743935295
20220610A,LS_DR10,0.45,0.43,-53.6,0.9051303222885173,845,18.810667132190193,34.35980367269039,0.0626823021847205
20220725A,LS_DR10,0.46,0.44,-56.1,0.0010938521105516169,5502,17.805318434333046,0.39353991474324196,0.9862764426393744
20221106A,LS_DR10,0.6,0.53,-58.1,0.001767007874229563,878,18.27920499987628,0.7861255740503046,0.9659234789467672
20230521A,LS_DR10,0.5,0.5,0.0,0.9674054566084185,180,22.98044976464446,13.559573028976505,0.032244061295641946
20230526A,LS_DR10,0.43,0.42,-65.3,0.00043010442271902775,1093,20.456666203242662,0.1441797671869635,0.9799387884239111
20230708A,LS_DR10,0.47,0.43,-63.2,0.0012017468749689734,9439,22.650751069534383,0.084088839741558,0.9939250028796389
20230902A,LS_DR10,0.69,0.55,-72.3,0.003965739774654414,10482,21.492385777371513,0.47679861106401533,0.9958273981561996
20231006A,LS_DR10,0.5,0.5,0.0,0.04538161561062971,1471,22.89327365645274,4.363738127362904,0.40508639571855576
20231226A,LS_DR10,0.51,0.48,-13.2,0.004628844674079396,5950,18.850022852828012,2.0032129509905006,0.9329977705389213
20240201A,LS_DR10,0.52,0.46,-30.0,0.03379662784340769,750,16.940340743840583,2.9950749041345084,0.862366149626621
20240208A,LS_DR10,1.37,0.8,-6.5,0.009649789311186686,11859,21.7133437110611,1.2201000256689187,0.9552522729426776
20240210A,LS_DR10,0.55,0.49,-54.1,0.01773091376635115,9347,14.893981026176395,9.536608347648208,0.8166205293461339
20240304A,LS_DR10,0.81,0.56,-57.0,0.03791511812230807,620,20.802133261708384,1.784297221389671,0.8804752642919643
20240310A,LS_DR10,0.59,0.55,-48.6,0.00264100080509621,4412,20.050665846334248,0.3181442077947099,0.9419909818241787
20240318A,LS_DR10,0.82,0.5,-19.3,0.005689656014858174,3350,18.79873648705733,1.162414730412034,0.9942837452285853
