RA,Dec,X_IMAGE,Y_IMAGE,ZERO_PT_APER_13PX,ZERO_PT_PSF,MAG_CALIB_APER_13PX,MAGERR_CALIB_APER_13PX,MAG_CALIB_APER_40PX,MAGERR_CALIB_APER_40PX,MAG_CALIB_PSF,MAGERR_CALIB_PSF,FLUX_RADIUS,SNR,FLAGS,objid_ls,ra_ls,dec_ls,type_ls,mag_ls,magerr_ls,sep_arcsec_ls,ls_sigma_dist_aper_13,ls_sigma_dist_aper_40,ls_sigma_dist_psf
64.395028,7.924424,1279.02,2441.2,33.6897,33.8252,24.043,0.055,23.504,0.068,24.177,0.051,2.59,49.57,0,1367,64.395028,7.924387,PSF,23.647,0.198,0.135,2.0,-0.72,2.68
64.395516,7.929272,1269.76,2534.61,33.6897,33.8252,24.217,0.057,24.342,0.114,24.207,0.043,2.17,48.4,0,1373,64.39553,7.929278,PSF,24.813,0.572,0.056,-1.04,-0.82,-1.06
64.400015,7.930802,1183.88,2564.01,33.6897,33.8252,23.43,0.051,23.168,0.06,23.565,0.04,2.92,86.23,0,1433,64.400043,7.930801,PSF,23.119,0.123,0.097,2.53,0.39,3.63
64.396321,7.932123,1254.5,2589.49,33.6897,33.8252,21.506,0.049,20.963,0.049,21.617,0.04,4.43,418.23,0,1385,64.396331,7.932116,DEV,21.047,0.028,0.042,16.64,-3.05,20.63
64.400086,7.931989,1182.57,2586.89,33.6897,33.8252,23.146,0.05,22.966,0.057,23.108,0.038,2.37,128.37,0,1435,64.400097,7.931991,PSF,23.165,0.128,0.04,-0.15,-1.55,-0.45
64.396528,7.933273,1251.13,2611.48,33.6897,33.8252,21.506,0.049,20.963,0.049,21.933,0.044,7.18,331.57,2,1388,64.396532,7.933276,DEV,20.815,0.037,0.014,18.61,3.98,30.08
64.394294,7.932073,1293.08,2588.56,33.6897,33.8252,23.626,0.052,23.255,0.062,23.75,0.042,2.89,73.13,0,1354,64.394335,7.932052,PSF,23.844,0.237,0.164,-0.92,-2.49,-0.4
64.392904,7.932848,1319.66,2603.14,33.6897,33.8252,23.626,0.052,23.255,0.062,23.463,0.062,7.61,129.46,16,1333,64.392949,7.932773,REX,21.91,0.098,0.311,17.45,13.68,15.79
64.402735,7.932561,1131.99,2597.93,33.6897,33.8252,24.024,0.055,23.642,0.073,24.143,0.043,2.62,51.44,0,-1,,,,,,,,,
64.396982,7.933468,1240.96,2615.65,33.6897,33.8252,21.506,0.049,20.963,0.049,23.443,0.066,4.97,99.62,19,1396,64.397042,7.933491,PSF,24.508,0.439,0.229,-6.83,-8.07,-2.42
64.400374,7.935243,1177.64,2649.09,33.6897,33.8252,23.146,0.05,22.966,0.057,23.15,0.044,4.44,126.93,0,1440,64.400388,7.935253,REX,22.518,0.099,0.06,6.37,4.54,6.4
64.396325,7.93842,1254.46,2710.69,33.6897,33.8252,23.641,0.052,23.492,0.068,23.917,0.045,3.35,64.22,0,1386,64.396364,7.938432,REX,23.313,0.134,0.145,2.45,1.34,4.52
