RA,Dec,X_IMAGE,Y_IMAGE,AWIN,BWIN,THETAWIN,MAG_CALIB,MAGERR_CALIB,SNR,ELLIPTICITY,FLUX_RADIUS,FLAGS,MAG_MODEL,MAG_POINTSOURCE
64.39502773770047,7.924424331836667,1279.0236550234258,2441.1970710009336,1.7276081,1.5232543,28.263126,24.295,0.051,49.57,0.732,2.5898824,0,-9.647894,-9.647894
64.39551605408754,7.929272331456269,1269.761426359415,2534.6078811883926,1.3021381,1.243316,-39.699093,24.473,0.043,48.4,0.587,2.1708996,0,-9.618424,-9.618424
64.40001543181748,7.9308018408433725,1183.8800067678094,2564.011856550351,1.7798598,1.6187056,56.837456,23.494,0.041,86.23,0.205,2.9207692,0,-10.259827,-10.259827
64.39632069972708,7.932122601184739,1254.499249637127,2589.492678940296,2.6562333,2.2648907,32.03073,21.241,0.041,418.23,0.408,4.4289355,0,-12.208334,-12.208334
64.40008551113823,7.9319889874814535,1182.5659738779068,2586.89056609571,1.3677483,1.3598061,-10.998459,23.258,0.039,128.37,0.03,2.3725536,0,-10.717566,-10.717566
64.39652849996513,7.933273495352785,1251.1288031041622,2611.4816297888756,4.1147313,3.857607,-14.243766,21.025,0.044,331.57,0.33,7.1752157,2,-11.892347,-11.892347
64.39429371734117,7.93207298464391,1293.0849951431155,2588.5615617334843,1.7853034,1.6346966,2.0661185,23.712,0.042,73.13,0.251,2.8890913,0,-10.07532,-10.07532
64.39290441492982,7.932847610982286,1319.66320592165,2603.14101113379,5.2116637,4.5964074,48.429806,22.114,0.062,129.46,0.425,7.608889,16,-10.362588,-10.362588
64.40273464273433,7.932561333067248,1131.9877795130014,2597.932355977595,1.5667497,1.5048647,-68.44901,24.185,0.043,51.44,0.011,2.6192713,0,-9.682196,-9.682196
64.3969822119309,7.933467615889188,1240.961099267006,2615.6501601338387,1.6323953,0.9701264,-15.164042,22.791,0.067,99.62,0.683,4.9655466,19,-10.381871,-10.381871
64.40037436166375,7.935242755723552,1177.6446430683136,2649.090486600995,2.8199565,2.3400297,-35.689846,22.599,0.044,126.93,0.405,4.443285,0,-10.675307,-10.675307
64.39632479561912,7.938419813501085,1254.4649481475353,2710.689744025469,2.209042,1.8686297,-19.636938,23.704,0.046,64.22,0.308,3.348938,0,-9.9078865,-9.9078865
