frb_name,fit_mode,n_fixed,q,inclination_angle,error_q,error_i,n,PA,Re,chi2,ndf,chi2_nu,fit_message,b_a_psf_num,inc_psf,n_psf,re_psf,chi2nu_psf,concentration,asymmetry,smoothness,gini,m20,delta_q,delta_inc_deg,abs_delta_inc_deg
20210410D,with_psf,1.0,0.3827019581584703,67.49885109027343,0.03,1.0022041780744433,1.0,0.8257653123394996,0.8702612050772737,1.0157700407285224,769,0.0013208973221437,success,0.14,90.0,1.0,2.99,0.844,2.3054969874714133,-0.0880632840700451,0.0,0.4729460439057895,-1.5974215869745685,0.2427019581584703,-22.501148909726567,22.501148909726567
20220207C,with_psf,1.0,0.2082533791363315,77.97998458942783,0.03,1.0006511775453275,1.0,0.7642296908940555,7.434138323729754,130222480.73302704,7365,17681.260113106182,success,0.21,86.25295798574673,1.0,29.79,130395015.263,2.402062001896286,-0.1251487061835531,0.0089868848664011,0.4161500795661097,-1.3247765441586885,-0.0017466208636685021,-8.272973396318903,8.272973396318903
20211127I,with_psf,1.0,0.9534442554057662,17.551884232864,0.03,1.0139212369379471,1.0,1.7646800682207593,6.139839216083185,1312288014.0986016,11826,110966.34653294447,success,0.91,25.034111980900132,1.0,15.5,982681086.052,2.691892085194816,-0.2623090369111233,-0.0423582465958941,0.5207111020391303,-1.938287810626576,0.04344425540576613,-7.482227748036131,7.482227748036131
20220914A,with_psf,1.0,0.5406033442159028,57.275279449526586,0.03,1.0044128181645886,1.0,2.061105530754724,1.169469403789852,1.3173685498591785,1363,0.0009665213131762,success,0.49,62.83532000423217,1.0,3.92,0.901,2.285884550471595,0.0144476592332386,0.0368670521113725,0.4292968389982881,-1.61273707879112,0.050603344215902846,-5.560040554705587,5.560040554705587
20200906A,with_psf,1.0,0.3095328514154639,71.96891978853363,0.03,1.001440264369242,1.0,0.5718854912983207,1.61476914367886,0.901258744369882,6555,0.0001374917992936,success,0.32,75.2293197499286,1.0,6.21,0.9,2.483160915553782,0.1459427446757382,0.0746452889025266,0.4292937550306985,-1.4378320211636353,-0.010467148584536123,-3.260399961394981,3.260399961394981
20220509G,with_psf,1.0,0.3934906616687363,66.82812630718402,0.03,1.0023306461332369,1.0,2.0927827959682137,3.3715272204158007,166.60674816639255,8343,0.0199696449917766,success by immobility. Convergence not guaranteed,0.4,69.29518894536457,1.0,11.12,167.822,1.823336068799074,0.5961829745791931,0.0532167587614669,0.5376312395121328,-1.0219133158923446,-0.006509338331263714,-2.4670626381805505,2.4670626381805505
20210807D,with_psf,1.0,0.7145787130579718,44.39131619796457,0.03,1.007748477930998,1.0,1.5912409015722913,3.876429112943972,221461735.643372,4020,55089.98399088856,success,0.7,46.79166084923599,1.0,13.37,217383562.096,2.5534158442195194,-0.2103466772671022,0.0121275341311966,0.4673574869792674,-1.801945488645444,0.01457871305797187,-2.4003446512714177,2.4003446512714177
20190608B,with_psf,1.0,0.6892326372607988,46.43060388535283,0.03,1.0072027021351495,1.0,2.640728895276592,1.3448236907600857,2.7046999792622723,6390,0.0004232707322789,success,0.68,48.446051289673186,1.0,4.94,2.219,2.9929661340989853,0.0145809835177761,-0.00252679621647,0.5444710521437124,-1.8420036661670725,0.009232637260798704,-2.015447404320355,2.015447404320355
20191001A,with_psf,1.0,0.5196888698289237,58.688616184555855,0.03,1.0040759329229738,1.0,2.387372015130928,1.68004114789391,8.697770288857802,1757,0.0049503530386214,success,0.52,60.666125748797135,1.0,6.61,8.774,2.2354298716328485,0.1352345865670149,0.0413613177860237,0.4288202276287269,-1.535871120343508,-0.0003111301710763126,-1.9775095642412808,1.9775095642412808
20190102C,with_psf,1.0,0.3793906517265232,67.70405666525342,0.03,1.0021660765596718,1.0,0.0794226387700618,0.9690071298561734,0.7435187733531026,2203,0.0003375028476409,success,0.4,69.29518894536457,1.0,3.77,0.742,2.1715893204696517,-0.1414428900027639,0.0197530338767185,0.3954846748545192,-1.540427000132341,-0.020609348273476824,-1.5911322801111538,1.5911322801111538
20221012A,with_psf,1.0,0.5452522992606603,56.95809343467789,0.03,1.0044895552333497,1.0,0.1797049853057672,1.3114938993574032,0.811194920530391,6555,0.0001237520855118,success,0.55,58.472179090237866,1.0,4.98,0.794,2.554593727728612,-0.0009329745580376,-0.0022103914770485,0.4639362789950166,-1.694912480457667,-0.004747700739339722,-1.514085655559974,1.514085655559974
