frb_name,fit_mode,n_fixed,q,inclination_angle,error_q,error_i,n,PA,Re,chi2,ndf,chi2_nu,fit_message
20171020A,with_psf,1.0,0.3639965304123828,68.65415948384405,0.03,1.0019933464559545,1.0,2.2473081356177413,15.506028157078322,204978265.9804603,21310,9618.876864404518,success
20180924B,with_psf,1.0,0.6343597838017635,50.62748301327372,0.03,1.0060913940249725,1.0,2.742105406612603,0.6367276329981704,0.9331599049547716,3243,0.00028774588496909394,success
20190102C,with_psf,1.0,0.37939065172652325,67.70405666525342,0.03,1.0021660765596718,1.0,0.07942263877006184,0.9690071298561734,0.7435187733531026,2203,0.0003375028476409907,success
20190608B,with_psf,1.0,0.6892326372607988,46.43060388535283,0.03,1.0072027021351495,1.0,2.640728895276592,1.3448236907600855,2.7046999792622723,6390,0.00042327073227891584,success
20190714A,with_psf,1.0,0.3462534629021271,69.74166940964427,0.03,1.001803237707241,1.0,2.3255381208672543,1.0502664195605194,0.7154334362177407,1219,0.0005869019165034788,success
20191001A,with_psf,1.0,0.5196888698289237,58.688616184555855,0.03,1.0040759329229738,1.0,2.3873720151309277,1.6800411478939101,8.697770288857802,1757,0.0049503530386214014,success
20200906A,with_psf,1.0,0.3095328514154639,71.96891978853363,0.03,1.001440264369242,1.0,0.5718854912983207,1.61476914367886,0.901258744369882,6555,0.00013749179929365093,success
20210320C,with_psf,1.0,0.6832746703951186,46.89992963485365,0.03,1.0070773956342394,1.0,2.717538621463788,0.9392541476654072,0.7329065952934742,2595,0.00028243028720365096,success
20210410D,with_psf,1.0,0.38270195815847036,67.49885109027343,0.03,1.0022041780744433,1.0,0.8257653123394996,0.8702612050772737,1.0157700407285224,769,0.0013208973221437222,success
20210807D,with_psf,1.0,0.7145787130579718,44.39131619796457,0.03,1.007748477930998,1.0,1.5912409015722913,3.8764291129439723,221461735.643372,4020,55089.983990888555,success
20211127I,with_psf,1.0,0.9534442554057662,17.551884232864,0.03,1.0139212369379473,1.0,1.7646800682207593,6.139839216083185,1312288014.0986016,11826,110966.34653294449,success
20211203C,with_psf,1.0,0.39377476974488684,66.81041852516637,0.03,1.0023340246901833,1.0,2.9604934736423845,0.7157913034860595,0.7603708667808866,2110,0.00036036533970658136,success
20211212A,with_psf,1.0,0.8265208403030746,34.257014561674936,0.03,1.0104072926036076,1.0,2.1815715631089114,3.2018406906021832,15.053993084970356,4219,0.0035681424709576573,success
20220207C,with_psf,1.0,0.20825337913633155,77.97998458942783,0.03,1.0006511775453275,1.0,0.7642296908940555,7.434138323729754,130222480.73302703,7365,17681.260113106182,success
20220307B,with_psf,1.0,0.6280343491153119,51.09475118913227,0.03,1.0059694361266625,1.0,1.4052851299900568,1.4756955558497626,117047741.52392955,1827,64065.5399693101,success
20220310F,with_psf,1.0,0.6817250439422374,47.0214084276468,0.03,1.0070449901569085,1.0,2.069855018823143,1.120913264463911,0.7577812040546656,10195,7.43287105497465e-05,success
20220319D,with_psf,1.0,0.8949254060063856,26.50114995522278,0.03,1.0122342815014609,1.0,1.0763748159258553,1.0848914960012837,619326265.9392533,21164,29263.195328825048,success
20220509G,with_psf,1.0,0.3934906616687363,66.82812630718402,0.03,1.0023306461332369,1.0,2.0927827959682137,3.3715272204158007,166.60674816639255,8343,0.019969644991776645,success by immobility. Convergence not guaranteed
20220825A,with_psf,1.0,0.6287044251442635,51.045398076448585,0.03,1.0059822955958124,1.0,0.7832223632796927,1.5637423405031163,258147209.9409115,6555,39381.725391443404,success
20220912A,with_psf,1.0,0.6163602060483635,51.949178100232274,0.03,1.0057476751605932,1.0,0.6306931428089827,1.273742628777902,300554393.1639771,1921,156457.25828421503,success
20220914A,with_psf,1.0,0.5406033442159028,57.275279449526586,0.03,1.0044128181645886,1.0,2.0611055307547237,1.169469403789852,1.3173685498591783,1363,0.000966521313176213,success
20220920A,with_psf,1.0,0.8634745152192206,30.291031323387056,0.03,1.0113750074156884,1.0,0.8195464443584042,1.8436301501375008,1.1767311481310636,4350,0.00027051290761633646,success
20221012A,with_psf,1.0,0.5452522992606603,56.95809343467789,0.03,1.0044895552333495,1.0,0.17970498530576728,1.3114938993574032,0.811194920530391,6555,0.00012375208551188268,success
