frb_name,q,b_a_psf,delta_q,inclination_angle,inc_psf,delta_inc_deg,n,n_psf,delta_n,Re,re_psf,delta_Re,chi2_nu,chi2nu_psf,delta_chi2nu
20211127I,0.9999919634105682,0.91,0.08999196341056814,0.2297067789898828,25.034111980900132,-24.80440520191025,1.7977728819558343,1.0,0.7977728819558343,8.535165737612434,15.5,-6.964834262387566,65455.67837386873,982681086.052,-982615630.3736262
20210410D,0.4062819613363062,0.14,0.26628196133630616,66.02851358929523,90.0,-23.97148641070477,7.999054048503798,1.0,6.999054048503798,2.483141600204613,2.99,-0.5068583997953873,0.0011684906262153,0.844,-0.8428315093737847
20220207C,0.224483079622153,0.21,0.014483079622153006,77.02751674347755,86.25295798574673,-9.225441242269184,0.5433431284297461,1.0,-0.4566568715702539,6.224184677395404,29.79,-23.565815322604596,17336.81449726338,130395015.263,-130377678.44850273
20220319D,0.8332629124923487,0.9,-0.06673708750765128,33.56460831969208,26.415550172000277,7.1490581476918,7.9999998244106205,1.0,6.9999998244106205,56.55648766871681,3.24,53.31648766871681,10983.763454205877,266664770.73,-266653786.9665458
20200906A,0.3220748542290416,0.32,0.0020748542290415783,71.2115502217082,75.2293197499286,-4.017769528220413,0.6800416012203827,1.0,-0.3199583987796173,1.5660975201961342,6.21,-4.643902479803866,0.0001352679209358,0.9,-0.8998647320790643
20211203C,0.4372963228661639,0.42,0.017296322866163893,64.06849727209922,67.85576776932919,-3.7872704972299687,2.130179025016944,1.0,1.1301790250169441,0.7351302128187891,2.76,-2.0248697871812107,0.0003604581741115,0.764,-0.7636395418258886
20190102C,0.4053497859399413,0.4,0.005349785939941287,66.08695161758351,69.29518894536457,-3.208237327781063,0.4018568174804847,1.0,-0.5981431825195154,1.0225131519228925,3.77,-2.7474868480771075,0.0003356665784846,0.742,-0.7416643334215154
20171020A,0.3918840185028071,0.39,0.001884018502807061,66.92822056594513,70.01845342807734,-3.0902328621322113,0.5591154881854311,0.54,0.019115488185431073,11.703323600118384,45.89,-34.18667639988162,7985.50099097937,170368836.361,-170360850.860009
20220509G,0.4001248350275049,0.4,0.00012483502750487707,66.41401725045166,69.29518894536457,-2.881171694912908,7.999955178692079,1.0,6.999955178692079,5.8408800155779135,11.12,-5.279119984422086,0.014459194511504,167.822,-167.8075408054885
20191001A,0.5321611157852845,0.52,0.012161115785284449,57.84841066356888,60.666125748797135,-2.817715085228258,0.5113874350184296,1.0,-0.48861256498157035,1.5652504077495046,6.61,-5.044749592250495,0.0036271731224555,8.774,-8.770372826877544
20190714A,0.3720375577016386,0.38,-0.007962442298361405,68.15866625879674,70.74502320571644,-2.586356946919693,0.4739762477295149,1.0,-0.5260237522704851,1.0373298646147455,4.15,-3.1126701353852546,0.0005658810392996,0.717,-0.7164341189607004
20190608B,0.6957938529180691,0.68,0.015793852918069007,45.9094891716795,48.446051289673186,-2.5365621179936824,3.183915074303697,1.0,2.183915074303697,1.9146898264926944,4.94,-3.025310173507306,0.0001787897787755,2.219,-2.2188212102212246
