FRB,status,source_flux,source_sigma,used_psf_convolution,q0,b_over_a,b_over_a_err,inclination_deg,inclination_err_deg,sma_rep_pix,ellipticity_rep,pa_deg,pa_err_deg,x0_pix,y0_pix,n_isophotes,isophote_index,half_light_flux_proxy,bkg_median,bkg_std,minsma,maxsma,step,fit_strategy_index
20171020A,ok,cropped_host_galaxies\20171020A_flux.fits,cropped_host_galaxies\20171020A_sigma.fits,False,0.2,0.40439897344052067,0.019026628129242523,68.97788501978114,1.3721658510305446,36.33477944859848,0.5956010265594793,31.566520345287124,1.3683325578615908,65.8507836074756,68.5680113251118,37,30,2007289.0220069885,107.03144073486328,208.05893899347967,2.0,65.7,0.1,0
20180924B,ok,cropped_host_galaxies\20180924B_flux.fits,cropped_host_galaxies\20180924B_sigma.fits,False,0.2,0.8576244173283294,0.010278175342880731,31.660252429870145,1.1782938315142424,4.686316272946423,0.1423755826716706,2031.2073559322528,2.3753577605128973,27.569681791364772,27.51148895253095,22,7,3.3585624074827365,0.0005466097791213542,0.0019953109551401364,2.0,25.650000000000002,0.1,2
20190102C,ok,cropped_host_galaxies\20190102C_flux.fits,cropped_host_galaxies\20190102C_sigma.fits,False,0.2,0.7604022760718823,0.04308952696836926,41.51717668292915,3.9552269001308673,5.627694330935504,0.2395977239281178,96.10143904353954,5.74804986878108,23.96061656226044,21.780212849270395,24,10,1.0114767403355245,0.0002204474003519863,0.0020770187598406716,2.0,21.150000000000002,0.1,0
20190608B,ok,cropped_host_galaxies\20190608B_flux.fits,cropped_host_galaxies\20190608B_sigma.fits,False,0.2,0.8407957327076734,0.0075098104556690325,33.539764561538696,0.8185282207151481,7.054607419351875,0.1592042672923266,65.81084243771302,1.5327228897674336,40.52369395704879,33.771760169736666,30,13,43.288902209356365,0.0024727206910029054,0.005137710297319125,2.0,35.1,0.1,0
20190714A,ok,cropped_host_galaxies\20190714A_flux.fits,cropped_host_galaxies\20190714A_sigma.fits,False,0.2,0.5858509870520257,0.014011172760287214,55.8050607030794,1.054055061543405,4.973317016238418,0.4141490129479743,41.29964992609642,1.235771345660361,14.762853552065357,16.85976154198534,35,15,4.2351837489459285,0.00123407575301826,0.006948194474849596,2.0,15.75,0.1,1
20191001A,ok,cropped_host_galaxies\20191001A_flux.fits,cropped_host_galaxies\20191001A_sigma.fits,False,0.2,0.538829555309762,0.018512897062731376,59.29256504393261,1.356356837978712,7.5415255715228815,0.46117044469023805,41.954691870339154,1.6682038376671102,31.190436433147454,25.386235082540562,23,13,20.546039399705478,0.001310832565650344,0.0030249999046142576,2.0,18.45,0.1,0
20200906A,ok,cropped_host_galaxies\20200906A_flux.fits,cropped_host_galaxies\20200906A_sigma.fits,False,0.2,0.7913933151378713,0.030422576216954024,38.602441994796514,2.954462648403709,5.612130065847889,0.20860668486212874,90.0,4.79985573322605,39.38991698154782,40.34569631525924,98,34,4.90078211224818,0.0002784325770335272,0.0024985460471840222,2.0,36.45,0.1,12
20210320C,ok,cropped_host_galaxies\20210320C_flux.fits,cropped_host_galaxies\20210320C_sigma.fits,False,0.2,0.8724019860189336,0.032498803421114136,29.925153964108745,3.944915275573944,4.274054414530942,0.12759801398106638,1674.4430392266524,8.393478014785362,25.46081988009779,25.192012928982148,21,6,6.104023688589223,0.001327188336290419,0.008336175374606207,2.0,22.95,0.1,2
20210410D,ok,cropped_host_galaxies\20210410D_flux.fits,cropped_host_galaxies\20210410D_sigma.fits,False,0.2,0.8496709530514708,0.04223353467970951,32.56029427075322,4.767333820613093,4.196899922084834,0.15032904694852928,150.25185377508632,8.751845988488357,16.359448750850312,17.017066211145,29,12,0.9574148678266283,0.0017895582132041454,0.0027966996656920502,2.0,11.25,0.1,1
20210807D,ok,cropped_host_galaxies\20210807D_flux.fits,cropped_host_galaxies\20210807D_sigma.fits,False,0.2,0.6864021440867498,0.02778303363335297,47.920701820374816,2.290373523254342,13.263647637526569,0.3135978559132502,26.075732007631288,3.082493459003693,30.016335592168097,30.743391543980746,27,19,300554.9432026148,163.08346557617188,215.89910034144918,2.0,27.45,0.1,0
