FRB,true_re_pix,true_inc,true_n,true_pa,true_q,flux_path,sigma_path
MOCK_0000,3,5,1.0,45.0,0.9963471892095948,tools/simulation/mock_data\MOCK_0000_flux.fits,tools/simulation/mock_data\MOCK_0000_sigma.fits
MOCK_0001,3,5,1.5,45.0,0.9963471892095948,tools/simulation/mock_data\MOCK_0001_flux.fits,tools/simulation/mock_data\MOCK_0001_sigma.fits
MOCK_0002,3,5,2.0,45.0,0.9963471892095948,tools/simulation/mock_data\MOCK_0002_flux.fits,tools/simulation/mock_data\MOCK_0002_sigma.fits
MOCK_0003,3,5,2.5,45.0,0.9963471892095948,tools/simulation/mock_data\MOCK_0003_flux.fits,tools/simulation/mock_data\MOCK_0003_sigma.fits
MOCK_0004,3,5,3.0,45.0,0.9963471892095948,tools/simulation/mock_data\MOCK_0004_flux.fits,tools/simulation/mock_data\MOCK_0004_sigma.fits
MOCK_0005,3,15,1.0,45.0,0.9673118389725883,tools/simulation/mock_data\MOCK_0005_flux.fits,tools/simulation/mock_data\MOCK_0005_sigma.fits
MOCK_0006,3,15,1.5,45.0,0.9673118389725883,tools/simulation/mock_data\MOCK_0006_flux.fits,tools/simulation/mock_data\MOCK_0006_sigma.fits
MOCK_0007,3,15,2.0,45.0,0.9673118389725883,tools/simulation/mock_data\MOCK_0007_flux.fits,tools/simulation/mock_data\MOCK_0007_sigma.fits
MOCK_0008,3,15,2.5,45.0,0.9673118389725883,tools/simulation/mock_data\MOCK_0008_flux.fits,tools/simulation/mock_data\MOCK_0008_sigma.fits
MOCK_0009,3,15,3.0,45.0,0.9673118389725883,tools/simulation/mock_data\MOCK_0009_flux.fits,tools/simulation/mock_data\MOCK_0009_sigma.fits
MOCK_0010,3,30,1.0,45.0,0.8717797887081348,tools/simulation/mock_data\MOCK_0010_flux.fits,tools/simulation/mock_data\MOCK_0010_sigma.fits
MOCK_0011,3,30,1.5,45.0,0.8717797887081348,tools/simulation/mock_data\MOCK_0011_flux.fits,tools/simulation/mock_data\MOCK_0011_sigma.fits
MOCK_0012,3,30,2.0,45.0,0.8717797887081348,tools/simulation/mock_data\MOCK_0012_flux.fits,tools/simulation/mock_data\MOCK_0012_sigma.fits
MOCK_0013,3,30,2.5,45.0,0.8717797887081348,tools/simulation/mock_data\MOCK_0013_flux.fits,tools/simulation/mock_data\MOCK_0013_sigma.fits
MOCK_0014,3,30,3.0,45.0,0.8717797887081348,tools/simulation/mock_data\MOCK_0014_flux.fits,tools/simulation/mock_data\MOCK_0014_sigma.fits
MOCK_0015,3,45,1.0,45.0,0.7211102550927979,tools/simulation/mock_data\MOCK_0015_flux.fits,tools/simulation/mock_data\MOCK_0015_sigma.fits
MOCK_0016,3,45,1.5,45.0,0.7211102550927979,tools/simulation/mock_data\MOCK_0016_flux.fits,tools/simulation/mock_data\MOCK_0016_sigma.fits
MOCK_0017,3,45,2.0,45.0,0.7211102550927979,tools/simulation/mock_data\MOCK_0017_flux.fits,tools/simulation/mock_data\MOCK_0017_sigma.fits
MOCK_0018,3,45,2.5,45.0,0.7211102550927979,tools/simulation/mock_data\MOCK_0018_flux.fits,tools/simulation/mock_data\MOCK_0018_sigma.fits
MOCK_0019,3,45,3.0,45.0,0.7211102550927979,tools/simulation/mock_data\MOCK_0019_flux.fits,tools/simulation/mock_data\MOCK_0019_sigma.fits
MOCK_0020,3,60,1.0,45.0,0.5291502622129183,tools/simulation/mock_data\MOCK_0020_flux.fits,tools/simulation/mock_data\MOCK_0020_sigma.fits
MOCK_0021,3,60,1.5,45.0,0.5291502622129183,tools/simulation/mock_data\MOCK_0021_flux.fits,tools/simulation/mock_data\MOCK_0021_sigma.fits
MOCK_0022,3,60,2.0,45.0,0.5291502622129183,tools/simulation/mock_data\MOCK_0022_flux.fits,tools/simulation/mock_data\MOCK_0022_sigma.fits
MOCK_0023,3,60,2.5,45.0,0.5291502622129183,tools/simulation/mock_data\MOCK_0023_flux.fits,tools/simulation/mock_data\MOCK_0023_sigma.fits
MOCK_0024,3,60,3.0,45.0,0.5291502622129183,tools/simulation/mock_data\MOCK_0024_flux.fits,tools/simulation/mock_data\MOCK_0024_sigma.fits
MOCK_0025,3,80,1.0,45.0,0.2625786396925005,tools/simulation/mock_data\MOCK_0025_flux.fits,tools/simulation/mock_data\MOCK_0025_sigma.fits
MOCK_0026,3,80,1.5,45.0,0.2625786396925005,tools/simulation/mock_data\MOCK_0026_flux.fits,tools/simulation/mock_data\MOCK_0026_sigma.fits
MOCK_0027,3,80,2.0,45.0,0.2625786396925005,tools/simulation/mock_data\MOCK_0027_flux.fits,tools/simulation/mock_data\MOCK_0027_sigma.fits
MOCK_0028,3,80,2.5,45.0,0.2625786396925005,tools/simulation/mock_data\MOCK_0028_flux.fits,tools/simulation/mock_data\MOCK_0028_sigma.fits
MOCK_0029,3,80,3.0,45.0,0.2625786396925005,tools/simulation/mock_data\MOCK_0029_flux.fits,tools/simulation/mock_data\MOCK_0029_sigma.fits
