re,n,b_a,pa,FRB,status
2.99,1.08,0.99,49.71,MOCK_0000,ok
2.86,1.77,0.98,31.2,MOCK_0001,ok
2.38,3.38,0.97,-54.31,MOCK_0002,ok
1.57,9.64,0.97,-68.61,MOCK_0003,ok
0.01,3.45,0.69,11.6,MOCK_0004,ok
2.97,1.06,0.96,-41.17,MOCK_0005,ok
2.76,1.78,0.96,-36.98,MOCK_0006,ok
2.33,3.57,0.98,-62.13,MOCK_0007,ok
1.45,8.86,0.95,-51.65,MOCK_0008,ok
0.01,3.68,0.65,67.59,MOCK_0009,ok
2.92,1.06,0.88,-46.12,MOCK_0010,ok
2.77,1.82,0.88,-45.3,MOCK_0011,ok
2.24,3.62,0.89,-40.21,MOCK_0012,ok
1.17,8.75,0.91,-43.19,MOCK_0013,ok
0.01,3.32,0.98,42.41,MOCK_0014,ok
2.91,1.07,0.72,-45.51,MOCK_0015,ok
2.68,1.88,0.73,-44.84,MOCK_0016,ok
2.16,3.82,0.7,-45.26,MOCK_0017,ok
1.0,9.69,0.71,-38.03,MOCK_0018,ok
0.01,3.66,0.84,18.49,MOCK_0019,ok
2.92,1.1,0.53,-45.02,MOCK_0020,ok
2.56,1.9,0.52,-45.92,MOCK_0021,ok
1.75,4.31,0.51,-42.99,MOCK_0022,ok
0.74,13.16,0.48,-44.03,MOCK_0023,ok
0.01,4.11,0.84,44.29,MOCK_0024,ok
2.77,1.18,0.26,-45.16,MOCK_0025,ok
2.11,2.51,0.25,-44.87,MOCK_0026,ok
1.05,5.8,0.24,-44.19,MOCK_0027,ok
0.25,13.61,0.19,-45.24,MOCK_0028,ok
0.01,5.29,0.91,-47.55,MOCK_0029,ok
2.63,1.28,0.18,-44.5,MOCK_0030,ok
1.8,2.99,0.17,-45.45,MOCK_0031,ok
0.83,6.62,0.16,-44.86,MOCK_0032,ok
0.18,13.86,0.21,-46.03,MOCK_0033,ok
0.07,9.09,0.43,-38.45,MOCK_0034,ok
5.07,1.02,0.99,-24.05,MOCK_0035,ok
4.99,1.57,0.99,33.16,MOCK_0036,ok
4.75,2.6,1.0,87.24,MOCK_0037,ok
5.17,5.65,0.98,-69.86,MOCK_0038,ok
4.61,20.0,0.97,29.52,MOCK_0039,ok
4.97,1.01,0.97,-57.0,MOCK_0040,ok
4.93,1.66,0.97,-58.56,MOCK_0041,ok
4.83,2.6,0.97,-41.95,MOCK_0042,ok
5.32,6.12,0.97,-73.17,MOCK_0043,ok
3.98,19.99,0.99,42.4,MOCK_0044,ok
4.95,1.01,0.87,-46.33,MOCK_0045,ok
4.92,1.67,0.88,-43.78,MOCK_0046,ok
4.71,2.63,0.87,-47.7,MOCK_0047,ok
5.0,6.47,0.9,-40.16,MOCK_0048,ok
3.92,19.92,0.87,-42.65,MOCK_0049,ok
4.95,1.08,0.72,-43.64,MOCK_0050,ok
4.92,1.67,0.69,-44.48,MOCK_0051,ok
4.69,2.77,0.73,-43.95,MOCK_0052,ok
4.78,7.79,0.75,-46.05,MOCK_0053,ok
2.13,20.0,0.7,-43.07,MOCK_0054,ok
4.97,0.99,0.53,-45.15,MOCK_0055,ok
4.81,1.74,0.53,-45.13,MOCK_0056,ok
4.43,3.12,0.51,-45.34,MOCK_0057,ok
3.91,8.57,0.51,-44.24,MOCK_0058,ok
0.84,17.11,0.58,-42.27,MOCK_0059,ok
4.94,1.06,0.26,-44.91,MOCK_0060,ok
4.58,1.92,0.25,-45.04,MOCK_0061,ok
3.59,4.24,0.25,-44.75,MOCK_0062,ok
1.99,13.6,0.23,-44.69,MOCK_0063,ok
0.32,18.5,0.22,-44.63,MOCK_0064,ok
4.83,1.1,0.19,-44.97,MOCK_0065,ok
4.28,2.12,0.19,-44.98,MOCK_0066,ok
3.09,5.32,0.18,-45.14,MOCK_0067,ok
1.31,13.13,0.16,-44.86,MOCK_0068,ok
0.15,20.0,0.3,-45.0,MOCK_0069,ok
12.19,1.01,0.98,-67.75,MOCK_0070,ok
12.03,1.5,0.98,61.92,MOCK_0071,ok
13.2,2.37,0.97,72.65,MOCK_0072,ok
18.89,4.05,0.99,-51.36,MOCK_0073,ok
47.56,9.32,1.0,49.87,MOCK_0074,ok
12.19,1.02,0.97,-24.62,MOCK_0075,ok
13.0,1.65,0.95,-42.86,MOCK_0076,ok
12.09,2.21,1.0,-51.52,MOCK_0077,ok
17.8,4.0,0.98,-57.04,MOCK_0078,ok
47.43,9.28,0.98,83.88,MOCK_0079,ok
