FRB,true_re_pix,true_inc,true_n,true_pa,true_q,flux_path,sigma_path,inc_galfit,re,status_galfit,inc_photutils,sma_rep_pix,status_photutils,err_galfit,err_photutils
MOCK_0000,3,5,1.0,45.0,0.9963471892095948,tools/simulation/mock_data\MOCK_0000_flux.fits,tools/simulation/mock_data\MOCK_0000_sigma.fits,8.278001821011447,2.99,ok,15.628688153061185,6.666666666666666,ok,3.278001821011447,10.628688153061185
MOCK_0001,3,5,1.5,45.0,0.9963471892095948,tools/simulation/mock_data\MOCK_0001_flux.fits,tools/simulation/mock_data\MOCK_0001_sigma.fits,11.71835359953122,2.86,ok,16.73405890252788,6.666666666666666,ok,6.71835359953122,11.734058902527881
MOCK_0002,3,5,2.0,45.0,0.9963471892095948,tools/simulation/mock_data\MOCK_0002_flux.fits,tools/simulation/mock_data\MOCK_0002_sigma.fits,14.366168027019716,2.38,ok,7.018719717717777,4.444444444444444,ok,9.366168027019716,2.0187197177177767
MOCK_0003,3,5,2.5,45.0,0.9963471892095948,tools/simulation/mock_data\MOCK_0003_flux.fits,tools/simulation/mock_data\MOCK_0003_sigma.fits,14.366168027019716,1.57,ok,15.430610044570582,4.444444444444444,ok,9.366168027019716,10.430610044570582
MOCK_0005,3,15,1.0,45.0,0.9673118389725884,tools/simulation/mock_data\MOCK_0005_flux.fits,tools/simulation/mock_data\MOCK_0005_sigma.fits,16.60510807405288,2.97,ok,11.750396105951355,4.444444444444444,ok,1.605108074052879,-3.2496038940486454
MOCK_0006,3,15,1.5,45.0,0.9673118389725884,tools/simulation/mock_data\MOCK_0006_flux.fits,tools/simulation/mock_data\MOCK_0006_sigma.fits,16.60510807405288,2.76,ok,10.678943288549446,4.444444444444444,ok,1.605108074052879,-4.321056711450554
MOCK_0007,3,15,2.0,45.0,0.9673118389725884,tools/simulation/mock_data\MOCK_0007_flux.fits,tools/simulation/mock_data\MOCK_0007_sigma.fits,11.71835359953122,2.33,ok,13.157719325770826,4.444444444444444,ok,-3.28164640046878,-1.8422806742291744
MOCK_0008,3,15,2.5,45.0,0.9673118389725884,tools/simulation/mock_data\MOCK_0008_flux.fits,tools/simulation/mock_data\MOCK_0008_sigma.fits,18.583642730636992,1.45,ok,15.496089258611267,4.444444444444444,ok,3.583642730636992,0.49608925861126707
MOCK_0010,3,30,1.0,45.0,0.8717797887081348,tools/simulation/mock_data\MOCK_0010_flux.fits,tools/simulation/mock_data\MOCK_0010_sigma.fits,28.997272586117877,2.92,ok,18.13314346484159,4.444444444444444,ok,-1.0027274138821234,-11.866856535158409
MOCK_0011,3,30,1.5,45.0,0.8717797887081348,tools/simulation/mock_data\MOCK_0011_flux.fits,tools/simulation/mock_data\MOCK_0011_sigma.fits,28.997272586117877,2.77,ok,18.684098217897162,4.444444444444444,ok,-1.0027274138821234,-11.315901782102838
MOCK_0012,3,30,2.0,45.0,0.8717797887081348,tools/simulation/mock_data\MOCK_0012_flux.fits,tools/simulation/mock_data\MOCK_0012_sigma.fits,27.73370188968676,2.24,ok,19.11728961522103,4.444444444444444,ok,-2.2662981103132402,-10.88271038477897
MOCK_0013,3,30,2.5,45.0,0.8717797887081348,tools/simulation/mock_data\MOCK_0013_flux.fits,tools/simulation/mock_data\MOCK_0013_sigma.fits,25.034111980900132,1.17,ok,15.456305372566918,4.444444444444444,ok,-4.965888019099868,-14.543694627433082
MOCK_0015,3,45,1.0,45.0,0.7211102550927979,tools/simulation/mock_data\MOCK_0015_flux.fits,tools/simulation/mock_data\MOCK_0015_sigma.fits,45.09549314269485,2.91,ok,30.586881440391096,4.444444444444444,ok,0.0954931426948491,-14.413118559608904
MOCK_0016,3,45,1.5,45.0,0.7211102550927979,tools/simulation/mock_data\MOCK_0016_flux.fits,tools/simulation/mock_data\MOCK_0016_sigma.fits,44.22999525249068,2.68,ok,29.269455693369096,4.444444444444444,ok,-0.7700047475093186,-15.730544306630904
MOCK_0017,3,45,2.0,45.0,0.7211102550927979,tools/simulation/mock_data\MOCK_0017_flux.fits,tools/simulation/mock_data\MOCK_0017_sigma.fits,46.79166084923599,2.16,ok,22.097088644118877,4.444444444444444,ok,1.7916608492359885,-22.902911355881123
MOCK_0018,3,45,2.5,45.0,0.7211102550927979,tools/simulation/mock_data\MOCK_0018_flux.fits,tools/simulation/mock_data\MOCK_0018_sigma.fits,45.949134977709875,1.0,ok,23.202886307775206,4.444444444444444,ok,0.9491349777098748,-21.797113692224794
MOCK_0020,3,60,1.0,45.0,0.5291502622129183,tools/simulation/mock_data\MOCK_0020_flux.fits,tools/simulation/mock_data\MOCK_0020_sigma.fits,59.93801416787615,2.92,ok,40.04196713253401,4.444444444444444,ok,-0.06198583212385245,-19.958032867465988
MOCK_0021,3,60,1.5,45.0,0.5291502622129183,tools/simulation/mock_data\MOCK_0021_flux.fits,tools/simulation/mock_data\MOCK_0021_sigma.fits,60.666125748797135,2.56,ok,37.60360134627959,4.444444444444444,ok,0.6661257487971355,-22.39639865372041
MOCK_0022,3,60,2.0,45.0,0.5291502622129183,tools/simulation/mock_data\MOCK_0022_flux.fits,tools/simulation/mock_data\MOCK_0022_sigma.fits,61.391484598837216,1.75,ok,30.717471157532863,4.444444444444444,ok,1.3914845988372164,-29.282528842467137
MOCK_0023,3,60,2.5,45.0,0.5291502622129183,tools/simulation/mock_data\MOCK_0023_flux.fits,tools/simulation/mock_data\MOCK_0023_sigma.fits,63.55450247290427,0.74,ok,28.48139944478459,4.444444444444444,ok,3.554502472904268,-31.51860055521541
MOCK_0025,3,80,1.0,45.0,0.2625786396925005,tools/simulation/mock_data\MOCK_0025_flux.fits,tools/simulation/mock_data\MOCK_0025_sigma.fits,80.23786424485768,2.77,ok,37.76124390703503,4.444444444444444,ok,0.23786424485767554,-42.23875609296497
MOCK_0030,3,90,1.0,45.0,0.2,tools/simulation/mock_data\MOCK_0030_flux.fits,tools/simulation/mock_data\MOCK_0030_sigma.fits,90.0,2.63,ok,37.76124390703503,4.444444444444444,ok,0.0,-52.23875609296497
